San Bernardino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196709,0.78,0.44
196710,0.00,-0.37
196711,1.27,0.77
196712,1.16,0.28
196801,0.14,-1.03
196802,0.39,-0.78
196803,0.94,-0.02
196804,0.20,-0.18
196805,0.05,-0.11
196806,0.08,0.03
196807,1.10,0.74
196808,0.25,-0.28
196809,0.00,-0.34
196810,0.24,-0.13
196811,0.26,-0.24
196812,0.35,-0.53
196901,3.28,2.11
196902,3.08,1.91
196903,0.39,-0.57
196904,0.23,-0.15
196905,0.48,0.32
196906,0.14,0.09
196907,0.47,0.11
196908,0.18,-0.35
196909,0.64,0.30
196910,0.04,-0.33
196911,0.61,0.11
196912,0.02,-0.86
197001,0.31,-0.86
197002,0.81,-0.36
197003,1.13,0.17
197004,0.09,-0.29
197005,0.00,-0.16
197006,0.04,-0.01
197007,0.39,0.03
197008,0.75,0.22
197009,0.02,-0.32
197010,0.03,-0.34
197011,1.06,0.56
197012,1.02,0.14
197101,0.10,-1.07
197102,0.20,-0.97
197103,0.09,-0.87
197104,0.14,-0.24
197105,0.41,0.25
197106,0.00,-0.05
197107,0.15,-0.21
197108,0.93,0.40
197109,0.07,-0.27
197110,0.30,-0.07
197111,0.11,-0.39
197112,1.59,0.71
197201,0.00,-1.17
197202,0.02,-1.15
197203,0.00,-0.96
197204,0.10,-0.28
197205,0.04,-0.12
197206,0.23,0.18
197207,0.04,-0.32
197208,0.38,-0.15
197209,0.20,-0.14
197210,0.81,0.44
197211,1.16,0.66
197212,0.46,-0.42
197301,0.89,-0.28
197302,1.82,0.65
197303,1.91,0.95
197304,0.10,-0.28
197305,0.16,0.00
197306,0.04,-0.01
197307,0.01,-0.35
197308,0.28,-0.25
197309,0.00,-0.34
197310,0.01,-0.36
197311,0.60,0.10
197312,0.09,-0.79
197401,2.40,1.23
197402,0.03,-1.14
197403,1.05,0.09
197404,0.08,-0.30
197405,0.08,-0.08
197406,0.00,-0.05
197407,0.46,0.10
197408,0.32,-0.21
197409,0.04,-0.30
197410,0.84,0.47
197411,0.12,-0.38
197412,0.90,0.02
197501,0.08,-1.09
197502,0.43,-0.74
197503,0.92,-0.04
197504,0.75,0.37
197505,0.03,-0.13
197506,0.01,-0.04
197507,0.08,-0.28
197508,0.08,-0.45
197509,0.47,0.13
197510,0.16,-0.21
197511,0.15,-0.35
197512,0.11,-0.77
197601,0.00,-1.17
197602,2.59,1.42
197603,0.44,-0.52
197604,0.54,0.16
197605,0.16,0.00
197606,0.02,-0.03
197607,0.33,-0.03
197608,0.01,-0.52
197609,1.86,1.52
197610,0.49,0.12
197611,0.15,-0.35
197612,0.19,-0.69
197701,1.22,0.05
197702,0.07,-1.10
197703,0.51,-0.45
197704,0.06,-0.32
197705,0.62,0.46
197706,0.03,-0.02
197707,0.10,-0.26
197708,1.94,1.41
197709,0.14,-0.20
