Butte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195303,5.73,-0.61
195304,5.87,2.63
195305,3.08,1.32
195306,1.06,0.43
195307,0.00,-0.03
195308,0.47,0.37
195309,0.01,-0.64
195310,2.32,-0.07
195311,5.91,0.56
195312,1.79,-5.79
195401,9.48,0.75
195402,7.04,-0.57
195403,7.68,1.34
195404,6.41,3.17
195405,0.12,-1.64
195406,1.29,0.66
195407,0.01,-0.02
195408,0.29,0.19
195409,0.09,-0.56
195410,0.47,-1.92
195411,6.16,0.81
195412,8.85,1.27
195501,5.24,-3.49
195502,2.59,-5.02
195503,1.15,-5.19
195504,5.86,2.62
195505,0.39,-1.37
195506,0.17,-0.46
195507,0.03,0.00
195508,0.00,-0.10
195509,0.60,-0.05
195510,1.45,-0.94
195511,5.27,-0.08
195512,25.45,17.87
195601,15.37,6.64
195602,9.18,1.57
195603,0.27,-6.07
195604,2.22,-1.02
195605,2.95,1.19
195606,0.24,-0.39
195607,0.01,-0.02
195608,0.00,-0.10
195609,0.98,0.33
195610,4.34,1.95
195611,0.13,-5.22
195612,0.69,-6.89
195701,6.29,-2.44
195702,8.50,0.89
195703,5.19,-1.15
195704,3.12,-0.12
195705,5.79,4.03
195706,0.07,-0.56
195707,0.00,-0.03
195708,0.00,-0.10
195709,2.92,2.27
195710,5.14,2.75
195711,2.45,-2.90
195712,7.51,-0.07
195801,9.46,0.73
195802,16.45,8.84
195803,10.16,3.82
195804,6.49,3.25
195805,1.73,-0.03
195806,1.86,1.23
195807,0.13,0.10
195808,0.08,-0.02
195809,0.45,-0.20
195810,0.91,-1.48
195811,1.34,-4.01
195812,2.76,-4.82
195901,10.36,1.63
195902,9.53,1.92
195903,2.14,-4.20
195904,1.09,-2.15
195905,0.84,-0.92
195906,0.03,-0.60
195907,0.00,-0.03
195908,0.27,0.17
195909,2.86,2.21
195910,0.02,-2.37
195911,0.00,-5.35
195912,2.73,-4.85
196001,10.05,1.32
196002,9.08,1.47
196003,8.05,1.71
196004,3.08,-0.16
196005,2.16,0.40
196006,0.00,-0.63
196007,0.07,0.04
196008,0.02,-0.08
196009,0.29,-0.36
196010,0.92,-1.47
196011,9.44,4.09
196012,4.06,-3.52
196101,5.20,-3.53
196102,5.20,-2.41
196103,7.05,0.71
196104,2.25,-0.99
196105,1.89,0.13
196106,0.46,-0.17
196107,0.01,-0.02
196108,0.09,-0.01
196109,0.35,-0.30
196110,0.71,-1.68
196111,5.55,0.20
196112,5.80,-1.78
196201,3.59,-5.14
196202,15.43,7.82
196203,5.64,-0.70
196204,1.11,-2.13
196205,0.91,-0.85
196206,0.40,-0.23
196207,0.01,-0.02
196208,0.25,0.15
196209,0.23,-0.42
196210,12.87,10.48
196211,2.77,-2.58
196212,6.25,-1.33
196301,6.07,-2.66
196302,4.54,-3.07
196303,7.54,1.20
196304,9.80,6.56
196305,1.83,0.07
196306,0.50,-0.13
196307,0.00,-0.03
196308,0.00,-0.10
196309,0.48,-0.17
196310,3.53,1.14
196311,9.55,4.20
196312,0.97,-6.61
196401,7.44,-1.29
196402,0.48,-7.13
196403,2.99,-3.35
196404,1.16,-2.08
196405,1.65,-0.11
196406,1.36,0.73
196407,0.02,-0.01
196408,0.02,-0.08
196409,0.76,0.11
196410,1.86,-0.53
196411,9.06,3.71
196412,17.45,9.87
196501,10.66,1.93
196502,1.56,-6.05
196503,2.67,-3.67
196504,6.56,3.32
196505,0.35,-1.41
196506,0.22,-0.41
196507,0.00,-0.03
196508,0.80,0.70
196509,0.15,-0.50
196510,0.14,-2.25
196511,10.14,4.79
196512,4.91,-2.67
196601,7.04,-1.69
196602,4.27,-3.34
196603,1.87,-4.47
196604,1.94,-1.30
196605,0.25,-1.51
196606,0.06,-0.57
196607,0.02,-0.01
196608,0.03,-0.07
196609,0.06,-0.59
196610,0.00,-2.39
196611,12.80,7.45
196612,7.92,0.34
196701,15.63,6.90
196702,0.87,-6.74
196703,8.62,2.28
196704,8.03,4.79
196705,1.01,-0.75
196706,1.94,1.31
196707,0.01,-0.02
196708,0.05,-0.05
196709,0.13,-0.52
196710,1.35,-1.04
196711,4.49,-0.86
196712,4.42,-3.16
196801,10.13,1.40
196802,6.79,-0.82
196803,4.93,-1.41
196804,0.43,-2.81
196805,1.18,-0.58
196806,0.44,-0.19
196807,0.03,0.00
196808,0.71,0.61
196809,0.06,-0.59
196810,4.13,1.74
196811,5.98,0.63
196812,10.24,2.66
196901,18.71,9.98
196902,12.58,4.97
196903,2.38,-3.96
196904,3.68,0.44
196905,0.04,-1.72
196906,0.65,0.02
196907,0.04,0.01
196908,0.00,-0.10
196909,0.00,-0.65
196910,2.77,0.38
196911,2.52,-2.83
196912,15.25,7.67
197001,21.44,12.71
197002,3.89,-3.72
197003,4.36,-1.98
197004,1.04,-2.20
197005,0.26,-1.50
197006,1.12,0.49
197007,0.01,-0.02
197008,0.00,-0.10
197009,0.01,-0.64
197010,2.81,0.42
197011,12.49,7.14
197012,11.52,3.94
197101,4.13,-4.60
197102,0.47,-7.14
197103,7.27,0.93
197104,1.48,-1.76
197105,1.72,-0.04
197106,0.81,0.18
197107,0.01,-0.02
197108,0.05,-0.05
197109,0.87,0.22
197110,0.38,-2.01
197111,3.57,-1.78
197112,7.48,-0.10
197201,3.54,-5.19
197202,3.80,-3.81
197203,1.69,-4.65
197204,3.35,0.11
197205,1.09,-0.67
197206,0.61,-0.02
197207,0.00,-0.03
197208,0.05,-0.05
197209,1.13,0.48
197210,3.82,1.43
197211,9.32,3.97
197212,5.75,-1.83
197301,16.20,7.47
197302,11.61,4.00
197303,5.35,-0.99
197304,0.39,-2.85
197305,0.50,-1.26
197306,0.15,-0.48
197307,0.04,0.01
197308,0.03,-0.07
197309,1.01,0.36
197310,4.12,1.73
197311,18.76,13.41
197312,9.07,1.49
197401,9.03,0.30
197402,4.05,-3.56
197403,14.09,7.75
197404,3.07,-0.17
197405,0.25,-1.51
197406,0.29,-0.34
197407,0.20,0.17
197408,0.03,-0.07
197409,0.00,-0.65
197410,2.36,-0.03
197411,2.35,-3.00
197412,5.44,-2.14
197501,2.61,-6.12
197502,13.24,5.63
197503,10.58,4.24
197504,3.12,-0.12
197505,0.30,-1.46
197506,0.30,-0.33
197507,0.16,0.13
197508,0.65,0.55
197509,0.11,-0.54
197510,5.10,2.71
197511,2.31,-3.04
197512,2.27,-5.31
197601,0.85,-7.88
197602,4.19,-3.42
197603,1.80,-4.54
197604,2.79,-0.45
197605,0.02,-1.74
197606,0.15,-0.48
197607,0.02,-0.01
197608,0.79,0.69
197609,0.97,0.32
197610,0.20,-2.19
197611,1.64,-3.71
197612,0.74,-6.84
197701,3.33,-5.40
197702,2.60,-5.01
197703,2.48,-3.86
197704,0.47,-2.77
197705,3.10,1.34
197706,0.09,-0.54
197707,0.07,0.04
197708,0.16,0.06
197709,2.32,1.67
197710,0.52,-1.87
197711,4.22,-1.13
197712,9.22,1.64
197801,18.36,9.63
197802,8.00,0.39
197803,10.28,3.94
197804,8.37,5.13
197805,0.72,-1.04
197806,0.19,-0.44
197807,0.10,0.07
197808,0.05,-0.05
197809,2.01,1.36
197810,0.00,-2.39
197811,3.62,-1.73
197812,2.27,-5.31
197901,8.96,0.23
197902,10.83,3.22
197903,6.08,-0.26
197904,3.37,0.13
197905,1.46,-0.30
197906,0.11,-0.52
197907,0.08,0.05
197908,0.68,0.58
197909,0.24,-0.41
197910,5.74,3.35
197911,4.91,-0.44
197912,8.20,0.62
198001,11.51,2.78
198002,12.91,5.30
198003,3.27,-3.07
198004,2.74,-0.50
198005,1.72,-0.04
198006,0.66,0.03
198007,0.14,0.11
198008,0.03,-0.07
198009,0.25,-0.40
198010,1.07,-1.32
198011,1.29,-4.06
198012,6.53,-1.05
198101,8.92,0.19
198102,2.86,-4.75
198103,7.28,0.94
198104,2.02,-1.22
198105,1.37,-0.39
198106,0.03,-0.60
198107,0.00,-0.03
198108,0.00,-0.10
198109,1.34,0.69
198110,6.21,3.82
198111,16.85,11.50
198112,11.01,3.43
198201,6.94,-1.79
198202,5.15,-2.46
198203,10.92,4.58
198204,7.81,4.57
198205,0.19,-1.57
198206,1.03,0.40
198207,0.10,0.07
198208,0.09,-0.01
198209,1.73,1.08
198210,6.07,3.68
198211,9.97,4.62
198212,7.37,-0.21
198301,10.07,1.34
198302,12.93,5.32
198303,18.06,11.72
198304,6.44,3.20
198305,0.83,-0.93
198306,0.74,0.11
198307,0.09,0.06
198308,0.12,0.02
198309,1.47,0.82
