Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195204,1.37,-1.56
195205,1.40,-0.62
195206,1.11,0.18
195207,0.95,0.73
195208,0.02,-0.25
195209,0.77,-0.07
195210,0.36,-2.00
195211,3.19,-1.67
195212,12.09,5.46
195301,11.16,3.40
195302,0.42,-6.31
195303,4.79,-0.88
195304,4.85,1.92
195305,3.78,1.76
195306,1.04,0.11
195307,0.21,-0.01
195308,0.71,0.44
195309,0.08,-0.76
195310,1.82,-0.54
195311,5.11,0.25
195312,1.54,-5.09
195401,9.34,1.58
195402,7.15,0.42
195403,6.60,0.93
195404,4.15,1.22
195405,0.05,-1.97
195406,1.59,0.66
195407,0.01,-0.21
195408,0.19,-0.08
195409,0.35,-0.49
195410,0.22,-2.14
195411,4.72,-0.14
195412,7.39,0.76
195501,3.87,-3.89
195502,2.66,-4.07
195503,1.76,-3.91
195504,4.63,1.70
195505,1.00,-1.02
195506,0.50,-0.43
195507,0.11,-0.11
195508,0.00,-0.27
195509,0.92,0.08
195510,1.10,-1.26
195511,4.05,-0.81
195512,25.82,19.19
195601,13.00,5.24
195602,9.41,2.68
195603,0.80,-4.87
195604,2.77,-0.16
195605,3.33,1.31
195606,0.28,-0.65
195607,0.36,0.14
195608,0.02,-0.25
195609,1.20,0.36
195610,5.81,3.45
195611,0.13,-4.73
195612,1.22,-5.41
195701,6.03,-1.73
195702,8.87,2.14
195703,4.83,-0.84
195704,3.02,0.09
195705,6.15,4.13
195706,0.16,-0.77
195707,0.01,-0.21
195708,0.00,-0.27
195709,2.36,1.52
195710,4.22,1.86
195711,2.60,-2.26
195712,7.93,1.30
195801,7.10,-0.66
195802,13.43,6.70
195803,9.56,3.89
195804,5.31,2.38
195805,1.40,-0.62
195806,2.74,1.81
195807,0.98,0.76
195808,0.42,0.15
195809,0.52,-0.32
195810,0.79,-1.57
195811,1.90,-2.96
195812,2.75,-3.88
195901,8.59,0.83
195902,8.79,2.06
195903,1.70,-3.97
195904,1.14,-1.79
195905,2.28,0.26
195906,0.11,-0.82
195907,0.05,-0.17
195908,0.41,0.14
195909,2.53,1.69
195910,0.07,-2.29
195911,0.00,-4.86
195912,2.66,-3.97
196001,7.71,-0.05
196002,9.45,2.72
196003,7.27,1.60
196004,1.75,-1.18
196005,2.18,0.16
196006,0.01,-0.92
196007,0.20,-0.02
