Tehama County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196002,8.18,2.16
196003,5.29,0.28
196004,2.55,-0.13
196005,1.97,0.44
196006,0.04,-0.67
196007,0.04,-0.03
196008,0.01,-0.15
196009,0.13,-0.50
196010,0.85,-1.28
196011,7.64,3.10
196012,5.81,-0.37
196101,4.75,-2.11
196102,5.01,-1.01
196103,5.29,0.28
196104,1.40,-1.28
196105,1.53,0.00
196106,0.44,-0.27
196107,0.03,-0.04
196108,0.28,0.12
196109,0.57,-0.06
196110,0.55,-1.58
196111,4.89,0.35
196112,5.70,-0.48
196201,2.37,-4.49
196202,9.84,3.82
196203,4.79,-0.22
196204,0.82,-1.86
196205,1.12,-0.41
196206,0.67,-0.04
196207,0.01,-0.06
196208,0.50,0.34
196209,0.39,-0.24
196210,8.67,6.54
196211,2.50,-2.04
196212,5.23,-0.95
196301,4.27,-2.59
196302,4.62,-1.40
196303,5.39,0.38
196304,7.96,5.28
196305,1.66,0.13
196306,0.36,-0.35
196307,0.00,-0.07
196308,0.01,-0.15
196309,0.14,-0.49
196310,3.36,1.23
196311,7.66,3.12
196312,0.97,-5.21
196401,4.98,-1.88
196402,0.28,-5.74
196403,2.40,-2.61
196404,0.48,-2.20
196405,1.06,-0.47
196406,1.28,0.57
196407,0.03,-0.04
196408,0.07,-0.09
196409,0.63,0.00
196410,2.16,0.03
196411,8.14,3.60
196412,12.64,6.46
196501,7.01,0.15
196502,1.31,-4.71
196503,2.35,-2.66
196504,6.88,4.20
196505,0.28,-1.25
196506,0.21,-0.50
196507,0.02,-0.05
196508,0.90,0.74
196509,0.05,-0.58
196510,0.07,-2.06
196511,9.53,4.99
196512,3.17,-3.01
196601,5.43,-1.43
196602,4.37,-1.65
196603,1.89,-3.12
196604,1.05,-1.63
196605,0.12,-1.41
196606,0.13,-0.58
196607,0.03,-0.04
196608,0.20,0.04
196609,0.26,-0.37
196610,0.01,-2.12
196611,10.37,5.83
196612,6.31,0.13
196701,11.13,4.27
196702,0.59,-5.43
196703,6.26,1.25
196704,6.48,3.80
196705,0.73,-0.80
196706,1.98,1.27
196707,0.02,-0.05
196708,0.16,0.00
196709,0.08,-0.55
196710,1.17,-0.96
196711,3.27,-1.27
196712,4.40,-1.78
196801,9.80,2.94
196802,6.22,0.20
196803,2.84,-2.17
196804,0.48,-2.20
196805,1.22,-0.31
196806,0.45,-0.26
196807,0.01,-0.06
196808,0.94,0.78
196809,0.08,-0.55
196810,2.42,0.29
196811,4.71,0.17
196812,11.26,5.08
196901,13.23,6.37
196902,11.22,5.20
196903,2.36,-2.65
196904,2.41,-0.27
196905,0.05,-1.48
196906,0.81,0.10
196907,0.06,-0.01
196908,0.00,-0.16
196909,0.03,-0.60
196910,2.43,0.30
196911,1.91,-2.63
196912,12.63,6.45
197001,16.91,10.05
197002,2.84,-3.18
197003,3.64,-1.37
197004,0.64,-2.04
197005,0.32,-1.21
197006,1.29,0.58
197007,0.00,-0.07
197008,0.00,-0.16
197009,0.04,-0.59
197010,2.26,0.13
197011,12.56,8.02
197012,9.29,3.11
197101,4.32,-2.54
197102,0.32,-5.70
197103,6.07,1.06
197104,1.23,-1.45
197105,1.66,0.13
197106,1.13,0.42
197107,0.12,0.05
197108,0.08,-0.08
197109,0.77,0.14
197110,0.34,-1.79
197111,3.41,-1.13
197112,5.65,-0.53
197201,2.90,-3.96
197202,3.39,-2.63
197203,1.98,-3.03
197204,2.24,-0.44
197205,1.26,-0.27
197206,0.49,-0.22
197207,0.00,-0.07
197208,0.17,0.01
197209,1.64,1.01
197210,4.08,1.95
197211,7.59,3.05
197212,4.98,-1.20
197301,11.12,4.26
197302,9.25,3.23
197303,4.74,-0.27
197304,0.43,-2.25
197305,0.59,-0.94
197306,0.07,-0.64
197307,0.04,-0.03
197308,0.06,-0.10
197309,0.74,0.11
197310,4.00,1.87
197311,13.45,8.91
197312,7.59,1.41
197401,8.40,1.54
197402,3.11,-2.91
197403,9.62,4.61
