Kern County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197111,0.28,-0.50
197112,2.68,1.35
197201,0.06,-1.70
197202,0.22,-1.59
197203,0.00,-1.58
197204,0.17,-0.59
197205,0.02,-0.28
197206,0.24,0.18
197207,0.00,-0.05
197208,0.10,0.02
197209,0.02,-0.16
197210,0.48,0.11
197211,2.04,1.26
197212,1.03,-0.30
197301,2.48,0.72
197302,2.52,0.71
197303,2.48,0.90
197304,0.20,-0.56
197305,0.31,0.01
197306,0.00,-0.06
197307,0.00,-0.05
197308,0.06,-0.02
197309,0.00,-0.18
197310,0.20,-0.17
197311,1.07,0.29
197312,1.10,-0.23
197401,2.74,0.98
197402,0.16,-1.65
197403,1.79,0.21
197404,0.91,0.15
197405,0.15,-0.15
197406,0.00,-0.06
197407,0.16,0.11
197408,0.09,0.01
197409,0.01,-0.17
197410,1.66,1.29
197411,0.36,-0.42
197412,1.41,0.08
197501,0.20,-1.56
197502,1.58,-0.23
197503,1.68,0.10
197504,1.10,0.34
197505,0.03,-0.27
197506,0.00,-0.06
197507,0.00,-0.05
197508,0.06,-0.02
197509,0.29,0.11
197510,0.62,0.25
197511,0.22,-0.56
197512,0.20,-1.13
197601,0.04,-1.72
197602,2.42,0.61
197603,0.64,-0.94
197604,0.90,0.14
197605,0.23,-0.07
197606,0.04,-0.02
197607,0.09,0.04
197608,0.02,-0.06
197609,0.95,0.77
197610,0.32,-0.05
197611,0.38,-0.40
197612,0.22,-1.11
197701,1.71,-0.05
197702,0.30,-1.51
197703,1.18,-0.40
197704,0.01,-0.75
197705,1.09,0.79
197706,0.14,0.08
197707,0.01,-0.04
197708,0.57,0.49
197709,0.00,-0.18
197710,0.04,-0.33
197711,0.12,-0.66
197712,3.22,1.89
197801,2.90,1.14
197802,5.67,3.86
197803,4.10,2.52
197804,1.53,0.77
197805,0.07,-0.23
197806,0.00,-0.06
197807,0.02,-0.03
197808,0.05,-0.03
197809,0.83,0.65
197810,0.13,-0.24
197811,0.62,-0.16
197812,1.03,-0.30
197901,3.16,1.40
197902,1.94,0.13
197903,2.68,1.10
197904,0.04,-0.72
197905,0.10,-0.20
197906,0.00,-0.06
197907,0.03,-0.02
197908,0.08,0.00
197909,0.31,0.13
197910,0.49,0.12
197911,0.28,-0.50
197912,0.43,-0.90
198001,4.04,2.28
198002,3.47,1.66
198003,1.93,0.35
198004,1.02,0.26
198005,0.28,-0.02
198006,0.00,-0.06
198007,0.10,0.05
198008,0.00,-0.08
198009,0.02,-0.16
198010,0.09,-0.28
198011,0.01,-0.77
198012,0.32,-1.01
198101,1.65,-0.11
198102,1.13,-0.68
198103,3.05,1.47
198104,0.50,-0.26
198105,0.24,-0.06
198106,0.00,-0.06
198107,0.00,-0.05
198108,0.03,-0.05
198109,0.15,-0.03
198110,0.95,0.58
198111,1.16,0.38
198112,0.55,-0.78
198201,2.06,0.30
198202,0.84,-0.97
198203,3.37,1.79
198204,1.69,0.93
198205,0.07,-0.23
198206,0.11,0.05
198207,0.01,-0.04
198208,0.07,-0.01
198209,0.69,0.51
198210,0.70,0.33
198211,2.31,1.53
198212,1.42,0.09
198301,3.45,1.69
198302,3.12,1.31
198303,5.22,3.64
198304,0.93,0.17
198305,0.19,-0.11
198306,0.02,-0.04
198307,0.00,-0.05
198308,0.58,0.50
198309,0.43,0.25
198310,0.56,0.19
198311,1.71,0.93
198312,2.09,0.76
198401,0.11,-1.65
198402,0.43,-1.38
198403,0.37,-1.21
198404,0.47,-0.29
198405,0.01,-0.29
198406,0.07,0.01
198407,0.44,0.39
198408,0.35,0.27
198409,0.09,-0.09
198410,0.25,-0.12
198411,1.64,0.86
198412,2.61,1.28
198501,0.71,-1.05
198502,0.77,-1.04
198503,0.81,-0.77
198504,0.04,-0.72
198505,0.05,-0.25
198506,0.20,0.14
198507,0.01,-0.04
198508,0.00,-0.08
198509,0.50,0.32
198510,0.25,-0.12
198511,1.99,1.21
198512,0.61,-0.72
198601,1.70,-0.06
198602,2.23,0.42
198603,2.31,0.73
198604,0.49,-0.27
198605,0.06,-0.24
198606,0.00,-0.06
198607,0.08,0.03
198608,0.11,0.03
198609,0.15,-0.03
198610,0.05,-0.32
198611,0.73,-0.05
198612,0.84,-0.49
198701,1.82,0.06
198702,1.20,-0.61
198703,1.55,-0.03
198704,0.18,-0.58
198705,0.23,-0.07
198706,0.19,0.13
198707,0.01,-0.04
198708,0.03,-0.05
198709,0.10,-0.08
198710,0.87,0.50
198711,2.01,1.23
198712,1.62,0.29
198801,1.83,0.07
198802,0.62,-1.19
198803,0.39,-1.19
198804,1.75,0.99
198805,0.23,-0.07
198806,0.13,0.07
198807,0.04,-0.01
198808,0.19,0.11
198809,0.02,-0.16
198810,0.00,-0.37
198811,0.84,0.06
198812,1.63,0.30
198901,0.47,-1.29
198902,1.39,-0.42
198903,0.82,-0.76
198904,0.12,-0.64
198905,0.34,0.04
198906,0.00,-0.06
198907,0.00,-0.05
198908,0.00,-0.08
198909,0.52,0.34
198910,0.17,-0.20
198911,0.13,-0.65
198912,0.01,-1.32
199001,1.53,-0.23
199002,0.99,-0.82
199003,0.39,-1.19
199004,0.38,-0.38
199005,0.43,0.13
199006,0.01,-0.05
199007,0.02,-0.03
199008,0.04,-0.04
199009,0.19,0.01
199010,0.02,-0.35
199011,0.37,-0.41
199012,0.30,-1.03
199101,0.79,-0.97
199102,1.15,-0.66
199103,5.77,4.19
199104,0.05,-0.71
199105,0.09,-0.21
199106,0.01,-0.05
199107,0.08,0.03
199108,0.00,-0.08
199109,0.06,-0.12
199110,0.42,0.05
199111,0.18,-0.60
199112,1.58,0.25
199201,1.64,-0.12
199202,4.19,2.38
199203,2.60,1.02
199204,0.36,-0.40
199205,0.15,-0.15
199206,0.00,-0.06
199207,0.13,0.08
199208,0.01,-0.07
199209,0.00,-0.18
199210,0.84,0.47
199211,0.01,-0.77
199212,3.07,1.74
199301,4.72,2.96
199302,4.12,2.31
199303,1.60,0.02
199304,0.05,-0.71
