San Francisco County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197311,8.96,6.07
197312,5.82,1.53
197401,3.89,-1.38
197402,1.63,-2.81
197403,6.21,2.73
197404,2.61,1.07
197405,0.02,-0.66
197406,0.17,-0.03
197407,0.09,0.08
197408,0.00,-0.07
197409,0.00,-0.25
197410,1.16,-0.04
197411,0.79,-2.10
197412,2.60,-1.69
197501,2.19,-3.08
197502,5.54,1.10
197503,6.67,3.19
197504,1.88,0.34
197505,0.02,-0.66
197506,0.04,-0.16
197507,0.08,0.07
197508,0.18,0.11
197509,0.00,-0.25
197510,2.69,1.49
197511,0.52,-2.37
197512,0.42,-3.87
197601,0.40,-4.87
197602,2.05,-2.39
197603,1.48,-2.00
197604,1.09,-0.45
197605,0.04,-0.64
197606,0.06,-0.14
197607,0.01,0.00
197608,0.54,0.47
197609,0.60,0.35
197610,0.56,-0.64
197611,1.35,-1.54
197612,2.45,-1.84
197701,1.81,-3.46
197702,1.04,-3.40
197703,2.48,-1.00
197704,0.10,-1.44
197705,0.96,0.28
197706,0.01,-0.19
197707,0.02,0.01
197708,0.04,-0.03
197709,0.95,0.70
197710,0.26,-0.94
197711,2.96,0.07
197712,4.52,0.23
197801,8.78,3.51
197802,4.82,0.38
197803,6.20,2.72
197804,4.40,2.86
197805,0.01,-0.67
197806,0.00,-0.20
197807,0.00,-0.01
197808,0.01,-0.06
197809,0.28,0.03
197810,0.00,-1.20
197811,1.91,-0.98
197812,0.85,-3.44
197901,7.79,2.52
197902,5.94,1.50
197903,2.51,-0.97
197904,1.04,-0.50
197905,0.23,-0.45
197906,0.00,-0.20
197907,0.06,0.05
197908,0.01,-0.06
197909,0.01,-0.24
197910,2.36,1.16
197911,3.58,0.69
197912,5.20,0.91
198001,5.07,-0.20
198002,7.28,2.84
198003,1.93,-1.55
198004,1.42,-0.12
198005,0.23,-0.45
198006,0.03,-0.17
198007,0.06,0.05
198008,0.00,-0.07
198009,0.00,-0.25
198010,0.14,-1.06
198011,0.32,-2.57
198012,2.63,-1.66
198101,5.84,0.57
198102,2.07,-2.37
198103,4.86,1.38
198104,0.23,-1.31
198105,0.21,-0.47
198106,0.00,-0.20
198107,0.00,-0.01
198108,0.00,-0.07
198109,0.32,0.07
198110,2.51,1.31
198111,6.41,3.52
198112,5.98,1.69
198201,9.48,4.21
198202,4.13,-0.31
198203,8.52,5.04
198204,4.04,2.50
198205,0.00,-0.68
198206,0.11,-0.09
198207,0.01,0.00
198208,0.01,-0.06
198209,0.98,0.73
198210,3.28,2.08
198211,6.94,4.05
198212,3.47,-0.82
198301,6.97,1.70
198302,9.15,4.71
198303,11.36,7.88
198304,3.74,2.20
198305,0.51,-0.17
198306,0.00,-0.20
198307,0.02,0.01
198308,0.21,0.14
198309,0.73,0.48
198310,0.55,-0.65
198311,8.01,5.12
198312,8.05,3.76
198401,0.50,-4.77
198402,2.36,-2.08
198403,1.74,-1.74
198404,1.01,-0.53
198405,0.13,-0.55
198406,0.29,0.09
198407,0.00,-0.01
198408,0.31,0.24
198409,0.11,-0.14
198410,2.98,1.78
198411,8.24,5.35
198412,2.41,-1.88
198501,0.77,-4.50
198502,2.30,-2.14
198503,4.14,0.66
198504,0.18,-1.36
198505,0.08,-0.60
198506,0.27,0.07
198507,0.06,0.05
198508,0.03,-0.04
198509,0.46,0.21
198510,1.01,-0.19
198511,4.95,2.06
198512,2.48,-1.81
198601,5.35,0.08
198602,9.85,5.41
198603,6.82,3.34
198604,0.78,-0.76
198605,0.19,-0.49
198606,0.00,-0.20
198607,0.04,0.03
198608,0.01,-0.06
198609,0.81,0.56
198610,0.13,-1.07
198611,0.20,-2.69
198612,1.82,-2.47
198701,4.12,-1.15
198702,4.80,0.36
198703,2.78,-0.70
198704,0.20,-1.34
198705,0.05,-0.63
198706,0.01,-0.19
198707,0.00,-0.01
198708,0.00,-0.07
198709,0.00,-0.25
198710,1.40,0.20
198711,2.93,0.04
198712,5.50,1.21
198801,4.86,-0.41
198802,0.48,-3.96
198803,0.08,-3.40
198804,2.24,0.70
198805,0.80,0.12
198806,0.69,0.49
198807,0.00,-0.01
198808,0.01,-0.06
198809,0.00,-0.25
198810,0.64,-0.56
198811,3.80,0.91
198812,4.53,0.24
198901,1.53,-3.74
198902,1.49,-2.95
198903,6.25,2.77
198904,0.79,-0.75
198905,0.06,-0.62
198906,0.09,-0.11
198907,0.00,-0.01
198908,0.03,-0.04
198909,1.13,0.88
198910,1.72,0.52
198911,1.78,-1.11
198912,0.01,-4.28
199001,4.18,-1.09
199002,2.62,-1.82
199003,1.34,-2.14
199004,0.47,-1.07
199005,2.88,2.20
199006,0.01,-0.19
199007,0.01,0.00
199008,0.02,-0.05
199009,0.14,-0.11
199010,0.26,-0.94
199011,0.58,-2.31
199012,2.02,-2.27
199101,0.56,-4.71
199102,4.18,-0.26
199103,7.87,4.39
199104,0.96,-0.58
199105,0.38,-0.30
199106,0.22,0.02
199107,0.01,0.00
199108,0.48,0.41
199109,0.03,-0.22
199110,2.13,0.93
199111,0.63,-2.26
199112,3.03,-1.26
199201,2.01,-3.26
199202,7.52,3.08
199203,5.02,1.54
199204,0.51,-1.03
199205,0.00,-0.68
199206,0.57,0.37
199207,0.00,-0.01
199208,0.10,0.03
199209,0.01,-0.24
199210,1.98,0.78
199211,0.40,-2.49
199212,6.73,2.44
199301,11.13,5.86
199302,5.12,0.68
199303,2.77,-0.71
199304,0.81,-0.73
