Sutter County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196810,1.12,0.10
196811,3.37,1.13
196812,4.06,0.87
196901,8.80,4.87
196902,6.47,2.98
196903,1.59,-1.08
196904,1.43,0.16
196905,0.01,-0.64
196906,0.18,-0.03
196907,0.02,0.02
196908,0.00,-0.03
196909,0.00,-0.27
196910,1.18,0.16
196911,0.80,-1.44
196912,5.36,2.17
197001,7.94,4.01
197002,1.80,-1.69
197003,1.99,-0.68
197004,0.34,-0.93
197005,0.01,-0.64
197006,0.39,0.18
197007,0.00,0.00
197008,0.00,-0.03
197009,0.01,-0.26
197010,1.02,0.00
197011,6.33,4.09
197012,4.63,1.44
197101,1.54,-2.39
197102,0.17,-3.32
197103,2.51,-0.16
197104,0.42,-0.85
197105,0.97,0.32
197106,0.14,-0.07
197107,0.00,0.00
197108,0.00,-0.03
197109,0.12,-0.15
197110,0.31,-0.71
197111,1.29,-0.95
197112,4.26,1.07
197201,1.14,-2.79
197202,1.74,-1.75
197203,0.38,-2.29
197204,1.11,-0.16
197205,0.47,-0.18
197206,0.28,0.07
197207,0.00,0.00
197208,0.00,-0.03
197209,0.81,0.54
197210,1.89,0.87
197211,4.99,2.75
197212,2.30,-0.89
197301,8.70,4.77
197302,6.43,2.94
197303,2.65,-0.02
197304,0.30,-0.97
197305,0.12,-0.53
197306,0.01,-0.20
197307,0.00,0.00
197308,0.00,-0.03
197309,0.39,0.12
197310,1.84,0.82
197311,6.59,4.35
197312,3.95,0.76
197401,3.54,-0.39
197402,1.27,-2.22
197403,4.58,1.91
197404,1.13,-0.14
197405,0.01,-0.64
197406,0.34,0.13
197407,0.05,0.05
197408,0.02,-0.01
197409,0.00,-0.27
197410,1.31,0.29
197411,1.05,-1.19
197412,2.83,-0.36
197501,0.94,-2.99
197502,7.54,4.05
197503,4.60,1.93
197504,0.93,-0.34
197505,0.06,-0.59
197506,0.08,-0.13
197507,0.04,0.04
197508,0.16,0.13
197509,0.02,-0.25
197510,2.43,1.41
197511,0.76,-1.48
197512,0.89,-2.30
197601,0.53,-3.40
197602,1.15,-2.34
197603,0.92,-1.75
197604,1.27,0.00
197605,0.00,-0.65
197606,0.08,-0.13
197607,0.00,0.00
197608,0.26,0.23
197609,0.48,0.21
197610,0.15,-0.87
197611,0.63,-1.61
197612,0.47,-2.72
197701,1.50,-2.43
197702,1.36,-2.13
197703,1.21,-1.46
197704,0.04,-1.23
197705,1.45,0.80
197706,0.00,-0.21
197707,0.03,0.03
197708,0.02,-0.01
197709,0.69,0.42
197710,0.38,-0.64
197711,2.14,-0.10
197712,3.60,0.41
197801,9.19,5.26
197802,3.40,-0.09
197803,4.62,1.95
197804,2.73,1.46
197805,0.04,-0.61
197806,0.01,-0.20
197807,0.00,0.00
197808,0.00,-0.03
197809,0.62,0.35
197810,0.00,-1.02
197811,2.99,0.75
197812,0.76,-2.43
197901,5.28,1.35
197902,4.75,1.26
197903,2.46,-0.21
197904,1.27,0.00
197905,0.24,-0.41
197906,0.00,-0.21
197907,0.03,0.03
197908,0.01,-0.02
197909,0.12,-0.15
197910,2.03,1.01
197911,2.55,0.31
197912,3.71,0.52
198001,4.71,0.78
198002,7.71,4.22
198003,1.80,-0.87
198004,0.74,-0.53
198005,0.50,-0.15
198006,0.21,0.00
198007,0.05,0.05
198008,0.01,-0.02
198009,0.01,-0.26
198010,0.27,-0.75
198011,0.30,-1.94
198012,2.78,-0.41
198101,4.86,0.93
198102,1.05,-2.44
198103,4.06,1.39
198104,1.07,-0.20
198105,0.34,-0.31
198106,0.00,-0.21
198107,0.00,0.00
198108,0.00,-0.03
198109,0.57,0.30
198110,2.63,1.61
198111,6.17,3.93
198112,4.18,0.99
198201,4.40,0.47
198202,2.53,-0.96
198203,4.70,2.03
198204,3.62,2.35
198205,0.04,-0.61
198206,0.25,0.04
198207,0.02,0.02
198208,0.01,-0.02
198209,1.14,0.87
198210,3.26,2.24
198211,4.97,2.73
198212,2.55,-0.64
198301,5.61,1.68
198302,5.57,2.08
198303,7.90,5.23
198304,3.34,2.07
198305,0.46,-0.19
198306,0.35,0.14
198307,0.00,0.00
198308,0.09,0.06
198309,0.79,0.52
198310,0.82,-0.20
198311,6.56,4.32
198312,7.52,4.33
198401,0.42,-3.51
