Sierra County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195901,9.19,0.62
195902,9.78,2.01
195903,2.00,-4.47
195904,1.30,-2.02
195905,2.87,0.70
195906,0.02,-0.87
195907,0.05,-0.18
195908,0.40,0.12
195909,3.12,2.25
195910,0.04,-2.56
195911,0.00,-5.36
195912,2.83,-4.38
196001,8.83,0.26
196002,11.25,3.48
196003,8.16,1.69
196004,2.01,-1.31
196005,1.87,-0.30
196006,0.00,-0.89
196007,0.21,-0.02
196008,0.04,-0.24
196009,0.10,-0.77
196010,0.72,-1.88
196011,7.71,2.35
196012,3.28,-3.93
196101,2.58,-5.99
196102,4.50,-3.27
196103,6.04,-0.43
196104,2.67,-0.65
196105,2.68,0.51
196106,1.07,0.18
196107,0.12,-0.11
196108,0.67,0.39
196109,0.50,-0.37
196110,1.80,-0.80
196111,4.51,-0.85
196112,3.17,-4.04
196201,3.39,-5.18
196202,17.63,9.86
196203,6.87,0.40
196204,1.33,-1.99
196205,1.97,-0.20
196206,0.20,-0.69
196207,0.32,0.09
196208,0.49,0.21
196209,0.36,-0.51
196210,13.89,11.29
196211,2.60,-2.76
196212,5.05,-2.16
196301,7.56,-1.01
196302,7.82,0.05
196303,6.83,0.36
196304,10.51,7.19
196305,3.36,1.19
196306,1.69,0.80
196307,0.01,-0.22
196308,0.12,-0.16
196309,1.18,0.31
196310,2.89,0.29
196311,11.94,6.58
196312,0.97,-6.24
196401,7.31,-1.26
196402,0.59,-7.18
196403,3.55,-2.92
196404,1.94,-1.38
196405,3.55,1.38
196406,1.52,0.63
196407,0.18,-0.05
196408,0.26,-0.02
196409,0.08,-0.79
196410,0.96,-1.64
196411,7.21,1.85
196412,24.45,17.24
196501,11.05,2.48
196502,1.45,-6.32
196503,3.21,-3.26
196504,5.42,2.10
196505,0.91,-1.26
196506,1.25,0.36
196507,0.40,0.17
196508,1.66,1.38
196509,0.68,-0.19
196510,0.46,-2.14
196511,9.27,3.91
196512,6.36,-0.85
196601,3.82,-4.75
196602,3.01,-4.76
196603,2.41,-4.06
196604,2.23,-1.09
196605,1.13,-1.04
196606,0.16,-0.73
196607,0.08,-0.15
196608,0.11,-0.17
196609,0.13,-0.74
196610,0.01,-2.59
196611,12.44,7.08
196612,9.12,1.91
196701,16.08,7.51
196702,0.78,-6.99
196703,11.48,5.01
196704,6.34,3.02
196705,2.18,0.01
196706,2.92,2.03
196707,0.12,-0.11
196708,0.39,0.11
196709,0.92,0.05
196710,2.32,-0.28
196711,3.60,-1.76
196712,6.24,-0.97
196801,8.12,-0.45
196802,6.88,-0.89
196803,4.41,-2.06
196804,0.48,-2.84
196805,0.94,-1.23
196806,0.69,-0.20
196807,0.09,-0.14
196808,1.26,0.98
196809,0.13,-0.74
196810,3.30,0.70
196811,6.40,1.04
196812,10.31,3.10
196901,24.18,15.61
196902,11.34,3.57
196903,1.79,-4.68
196904,3.49,0.17
196905,0.44,-1.73
196906,2.05,1.16
196907,0.17,-0.06
196908,0.00,-0.28
196909,0.03,-0.84
196910,3.73,1.13
196911,2.30,-3.06
196912,13.65,6.44
197001,22.26,13.69
197002,3.81,-3.96
197003,3.56,-2.91
197004,2.35,-0.97
197005,0.46,-1.71
