Merced County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195305,0.27,-0.12
195306,0.23,0.16
195307,0.00,0.00
195308,0.00,-0.01
195309,0.00,-0.16
195310,0.15,-0.37
195311,1.27,0.09
195312,0.52,-1.26
195401,1.81,-0.45
195402,1.41,-0.69
195403,2.58,0.69
195404,0.93,0.01
195405,0.25,-0.14
195406,0.18,0.11
195407,0.00,0.00
195408,0.00,-0.01
195409,0.00,-0.16
195410,0.00,-0.52
195411,0.98,-0.20
195412,1.87,0.09
195501,3.24,0.98
195502,0.88,-1.22
195503,0.29,-1.60
195504,1.18,0.26
195505,0.84,0.45
195506,0.00,-0.07
195507,0.00,0.00
195508,0.00,-0.01
195509,0.01,-0.15
195510,0.04,-0.48
195511,0.88,-0.30
195512,7.12,5.34
195601,3.43,1.17
195602,0.66,-1.44
195603,0.03,-1.86
195604,1.80,0.88
195605,0.73,0.34
195606,0.00,-0.07
195607,0.00,0.00
195608,0.00,-0.01
195609,0.17,0.01
195610,0.60,0.08
195611,0.00,-1.18
195612,0.29,-1.49
195701,2.13,-0.13
195702,1.78,-0.32
195703,1.20,-0.69
195704,0.94,0.02
195705,1.34,0.95
195706,0.09,0.02
195707,0.00,0.00
195708,0.00,-0.01
195709,0.17,0.01
195710,1.06,0.54
195711,0.47,-0.71
195712,2.26,0.48
195801,2.93,0.67
195802,4.25,2.15
195803,5.37,3.48
195804,3.11,2.19
195805,0.60,0.21
195806,0.10,0.03
195807,0.01,0.01
195808,0.00,-0.01
195809,0.29,0.13
195810,0.01,-0.51
195811,0.14,-1.04
195812,0.24,-1.54
195901,2.55,0.29
195902,2.99,0.89
195903,0.19,-1.70
195904,0.96,0.04
195905,0.05,-0.34
195906,0.00,-0.07
195907,0.00,0.00
195908,0.02,0.01
195909,1.01,0.85
195910,0.00,-0.52
195911,0.00,-1.18
195912,0.47,-1.31
196001,1.87,-0.39
196002,2.84,0.74
196003,0.88,-1.01
196004,1.22,0.30
196005,0.05,-0.34
196006,0.00,-0.07
196007,0.00,0.00
196008,0.00,-0.01
196009,0.05,-0.11
196010,0.04,-0.48
196011,2.24,1.06
196012,0.49,-1.29
196101,1.89,-0.37
196102,0.76,-1.34
