Inyo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196411,0.36,-0.12
196412,0.52,-0.26
196501,0.31,-0.72
196502,0.04,-1.03
196503,0.41,-0.43
196504,1.65,1.21
196505,0.07,-0.21
196506,0.09,-0.02
196507,0.90,0.61
196508,0.73,0.40
196509,0.01,-0.27
196510,0.00,-0.32
196511,2.41,1.93
196512,1.64,0.86
196601,0.31,-0.72
196602,0.21,-0.86
196603,0.02,-0.82
196604,0.02,-0.42
196605,0.15,-0.13
196606,0.02,-0.09
196607,0.40,0.11
196608,0.20,-0.13
196609,0.21,-0.07
196610,0.01,-0.31
196611,0.40,-0.08
196612,2.99,2.21
196701,1.32,0.29
196702,0.06,-1.01
196703,0.22,-0.62
196704,0.87,0.43
196705,0.17,-0.11
196706,0.13,0.02
196707,0.45,0.16
196708,0.38,0.05
196709,0.76,0.48
196710,0.00,-0.32
196711,1.59,1.11
196712,0.41,-0.37
196801,0.05,-0.98
196802,1.25,0.18
196803,0.50,-0.34
196804,0.21,-0.23
196805,0.05,-0.23
196806,0.22,0.11
196807,0.87,0.58
196808,0.24,-0.09
196809,0.00,-0.28
196810,0.29,-0.03
196811,0.11,-0.37
196812,0.29,-0.49
196901,4.21,3.18
196902,3.81,2.74
196903,0.70,-0.14
196904,0.16,-0.28
196905,0.37,0.09
196906,0.38,0.27
196907,0.75,0.46
196908,0.07,-0.26
196909,0.04,-0.24
196910,0.05,-0.27
196911,0.40,-0.08
196912,0.13,-0.65
197001,0.72,-0.31
197002,1.37,0.30
197003,0.70,-0.14
197004,0.11,-0.33
197005,0.01,-0.27
197006,0.02,-0.09
197007,0.40,0.11
197008,0.28,-0.05
197009,0.00,-0.28
197010,0.02,-0.30
197011,1.77,1.29
197012,0.66,-0.12
197101,0.10,-0.93
197102,0.18,-0.89
197103,0.08,-0.76
197104,0.06,-0.38
197105,0.94,0.66
197106,0.00,-0.11
197107,0.24,-0.05
197108,0.13,-0.20
197109,0.04,-0.24
197110,0.13,-0.19
197111,0.18,-0.30
197112,1.70,0.92
197201,0.02,-1.01
197202,0.02,-1.05
197203,0.00,-0.84
197204,0.12,-0.32
197205,0.06,-0.22
197206,0.40,0.29
197207,0.09,-0.20
197208,0.15,-0.18
197209,0.25,-0.03
197210,0.84,0.52
197211,1.14,0.66
197212,0.20,-0.58
197301,1.55,0.52
197302,1.87,0.80
197303,1.16,0.32
197304,0.13,-0.31
197305,0.40,0.12
197306,0.08,-0.03
197307,0.04,-0.25
197308,0.31,-0.02
197309,0.00,-0.28
197310,0.23,-0.09
197311,0.69,0.21
197312,0.26,-0.52
197401,2.27,1.24
197402,0.02,-1.05
197403,1.44,0.60
197404,0.31,-0.13
197405,0.29,0.01
197406,0.00,-0.11
197407,0.60,0.31
197408,0.30,-0.03
197409,0.02,-0.26
197410,1.34,1.02
197411,0.17,-0.31
197412,0.95,0.17
197501,0.06,-0.97
197502,0.36,-0.71
197503,1.04,0.20
197504,0.47,0.03
197505,0.07,-0.21
197506,0.14,0.03
197507,0.31,0.02
197508,0.05,-0.28
197509,0.97,0.69
197510,0.25,-0.07
197511,0.10,-0.38
197512,0.05,-0.73
197601,0.01,-1.02
197602,2.82,1.75
197603,0.31,-0.53
197604,0.47,0.03
197605,0.80,0.52
197606,0.07,-0.04
197607,0.94,0.65
197608,0.06,-0.27
197609,1.45,1.17
197610,0.50,0.18
197611,0.04,-0.44
197612,0.04,-0.74
197701,0.76,-0.27
197702,0.17,-0.90
197703,0.29,-0.55
197704,0.02,-0.42
197705,1.04,0.76
197706,0.26,0.15
197707,0.10,-0.19
197708,1.56,1.23
197709,0.04,-0.24
197710,0.11,-0.21
197711,0.06,-0.42
197712,1.98,1.20
197801,2.36,1.33
197802,2.83,1.76
197803,3.37,2.53
197804,0.63,0.19
197805,0.23,-0.05
197806,0.00,-0.11
197807,0.35,0.06
197808,0.07,-0.26
197809,0.77,0.49
197810,0.31,-0.01
197811,0.49,0.01
197812,0.43,-0.35
197901,1.71,0.68
197902,0.80,-0.27
197903,1.45,0.61
197904,0.02,-0.42
197905,0.16,-0.12
197906,0.00,-0.11
197907,0.35,0.06
197908,0.21,-0.12
197909,0.29,0.01
197910,0.15,-0.17
197911,0.08,-0.40
197912,0.24,-0.54
198001,2.47,1.44
198002,3.12,2.05
198003,1.26,0.42
198004,1.17,0.73
198005,0.53,0.25
198006,0.05,-0.06
198007,0.16,-0.13
198008,0.00,-0.33
198009,0.16,-0.12
198010,0.01,-0.31
198011,0.07,-0.41
198012,0.31,-0.47
198101,0.81,-0.22
198102,0.35,-0.72
198103,1.86,1.02
198104,0.41,-0.03
198105,0.67,0.39
198106,0.00,-0.11
198107,0.00,-0.29
198108,0.13,-0.20
198109,0.28,0.00
198110,0.44,0.12
198111,1.52,1.04
198112,0.10,-0.68
198201,0.80,-0.23
198202,0.51,-0.56
198203,1.84,1.00
198204,1.02,0.58
198205,0.19,-0.09
198206,0.26,0.15
198207,0.48,0.19
198208,0.55,0.22
198209,0.71,0.43
198210,0.49,0.17
198211,1.38,0.90
198212,1.19,0.41
198301,1.82,0.79
198302,1.83,0.76
198303,2.83,1.99
198304,0.56,0.12
198305,0.03,-0.25
198306,0.03,-0.08
198307,0.01,-0.28
198308,1.85,1.52
198309,0.32,0.04
198310,0.33,0.01
198311,0.78,0.30
198312,1.51,0.73
198401,0.01,-1.02
198402,0.16,-0.91
198403,0.12,-0.72
198404,0.08,-0.36
198405,0.02,-0.26
198406,0.05,-0.06
198407,1.40,1.11
198408,1.55,1.22
198409,0.06,-0.22
198410,0.24,-0.08
198411,1.62,1.14
198412,2.25,1.47
198501,0.27,-0.76
198502,0.14,-0.93
198503,0.33,-0.51
198504,0.01,-0.43
198505,0.16,-0.12
198506,0.27,0.16
198507,0.65,0.36
198508,0.00,-0.33
198509,0.25,-0.03
198510,0.09,-0.23
198511,1.18,0.70
198512,0.48,-0.30
198601,1.23,0.20
198602,2.08,1.01
198603,1.28,0.44
198604,0.59,0.15
198605,0.10,-0.18
198606,0.00,-0.11
198607,0.16,-0.13
198608,0.30,-0.03
198609,0.09,-0.19
198610,0.19,-0.13
198611,0.56,0.08
198612,0.47,-0.31
198701,0.86,-0.17
198702,0.34,-0.73
198703,1.17,0.33
198704,0.14,-0.30
198705,0.70,0.42
198706,0.23,0.12
198707,0.16,-0.13
198708,0.03,-0.30
198709,0.21,-0.07
198710,0.84,0.52
198711,1.25,0.77
198712,0.99,0.21
198801,1.22,0.19
198802,0.39,-0.68
198803,0.24,-0.60
198804,1.40,0.96
198805,0.10,-0.18
198806,0.22,0.11
198807,0.10,-0.19
198808,0.86,0.53
198809,0.41,0.13
198810,0.00,-0.32
198811,0.17,-0.31
198812,0.68,-0.10
198901,0.27,-0.76
198902,0.42,-0.65
198903,0.29,-0.55
198904,0.03,-0.41
198905,0.60,0.32
198906,0.06,-0.05
198907,0.06,-0.23
198908,0.34,0.01
198909,0.26,-0.02
198910,0.02,-0.30
198911,0.08,-0.40
198912,0.02,-0.76
199001,0.80,-0.23
199002,0.35,-0.72
199003,0.14,-0.70
199004,0.30,-0.14
199005,0.17,-0.11
199006,0.10,-0.01
199007,0.47,0.18
199008,0.17,-0.16
199009,0.66,0.38
199010,0.02,-0.30
199011,0.05,-0.43
199012,0.04,-0.74
199101,0.18,-0.85
199102,0.80,-0.27
199103,3.57,2.73
199104,0.02,-0.42
199105,0.16,-0.12
199106,0.05,-0.06
199107,0.36,0.07
199108,0.08,-0.25
199109,0.25,-0.03
199110,0.30,-0.02
199111,0.14,-0.34
199112,0.82,0.04
199201,0.78,-0.25
199202,2.47,1.40
199203,2.36,1.52
199204,0.31,-0.13
199205,0.27,-0.01
199206,0.05,-0.06
199207,0.21,-0.08
199208,0.12,-0.21
199209,0.03,-0.25
199210,0.81,0.49
199211,0.00,-0.48
199212,1.87,1.09
199301,2.58,1.55
199302,3.05,1.98
199303,0.85,0.01
199304,0.03,-0.41
199305,0.04,-0.24
199306,0.16,0.05
