Lassen County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196906,2.07,1.03
196907,0.24,-0.07
196908,0.01,-0.29
196909,0.04,-0.59
196910,2.01,0.72
196911,1.23,-1.02
196912,6.16,3.16
197001,8.15,4.82
197002,1.53,-1.27
197003,2.29,-0.15
197004,1.18,-0.33
197005,0.76,-0.73
197006,2.64,1.60
197007,0.05,-0.26
197008,0.07,-0.23
197009,0.08,-0.55
197010,1.16,-0.13
197011,5.68,3.43
197012,5.04,2.04
197101,1.61,-1.72
197102,0.70,-2.10
197103,5.19,2.75
197104,1.83,0.32
197105,4.78,3.29
197106,2.35,1.31
197107,0.42,0.11
197108,0.20,-0.10
197109,1.33,0.70
197110,0.54,-0.75
197111,1.67,-0.58
197112,4.44,1.44
197201,1.45,-1.88
197202,2.57,-0.23
197203,0.81,-1.63
197204,1.35,-0.16
197205,1.24,-0.25
197206,0.54,-0.50
197207,0.08,-0.23
197208,0.07,-0.23
197209,1.47,0.84
197210,2.08,0.79
197211,2.95,0.70
197212,2.09,-0.91
197301,4.29,0.96
197302,2.34,-0.46
197303,1.91,-0.53
197304,0.89,-0.62
197305,1.30,-0.19
197306,0.17,-0.87
197307,0.46,0.15
197308,0.38,0.08
197309,0.68,0.05
197310,1.58,0.29
197311,5.13,2.88
197312,3.59,0.59
197401,3.05,-0.28
197402,1.51,-1.29
197403,5.06,2.62
197404,1.26,-0.25
197405,0.31,-1.18
197406,0.11,-0.93
197407,1.01,0.70
197408,0.41,0.11
197409,0.00,-0.63
197410,1.23,-0.06
197411,0.88,-1.37
197412,2.38,-0.62
197501,1.04,-2.29
197502,5.76,2.96
197503,2.98,0.54
197504,2.56,1.05
197505,0.42,-1.07
197506,0.81,-0.23
197507,0.46,0.15
197508,1.08,0.78
197509,0.37,-0.26
197510,2.28,0.99
197511,0.82,-1.43
197512,0.65,-2.35
197601,0.56,-2.77
197602,1.90,-0.90
197603,1.27,-1.17
197604,0.60,-0.91
197605,0.13,-1.36
197606,0.58,-0.46
197607,0.60,0.29
197608,1.39,1.09
197609,1.91,1.28
197610,0.68,-0.61
197611,0.45,-1.80
197612,0.16,-2.84
197701,1.63,-1.70
197702,1.25,-1.55
197703,1.20,-1.24
197704,0.29,-1.22
197705,2.32,0.83
197706,1.28,0.24
197707,0.14,-0.17
197708,0.57,0.27
197709,1.19,0.56
197710,0.51,-0.78
197711,1.29,-0.96
197712,4.91,1.91
197801,5.65,2.32
197802,2.31,-0.49
197803,3.59,1.15
197804,3.29,1.78
197805,1.18,-0.31
197806,0.63,-0.41
197807,0.27,-0.04
197808,0.66,0.36
197809,0.84,0.21
197810,0.01,-1.28
197811,0.99,-1.26
197812,1.11,-1.89
197901,2.03,-1.30
197902,3.78,0.98
197903,1.87,-0.57
197904,1.42,-0.09
197905,1.35,-0.14
197906,0.22,-0.82
197907,0.32,0.01
197908,0.65,0.35
197909,0.08,-0.55
197910,2.96,1.67
197911,1.73,-0.52
197912,3.69,0.69
198001,5.13,1.80
198002,4.79,1.99
198003,1.87,-0.57
198004,1.33,-0.18
198005,1.95,0.46
198006,1.48,0.44
198007,0.89,0.58
198008,0.42,0.12
198009,1.03,0.40
198010,0.92,-0.37
198011,0.92,-1.33
198012,2.49,-0.51
198101,2.71,-0.62
