Imperial County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196308,0.62,0.23
196309,1.34,1.07
196310,0.73,0.49
196311,0.47,0.26
196312,0.00,-0.55
196401,0.06,-0.47
196402,0.20,-0.30
196403,0.09,-0.28
196404,0.04,-0.06
196405,0.01,-0.03
196406,0.00,-0.01
196407,0.02,-0.16
196408,0.11,-0.28
196409,0.00,-0.27
196410,0.18,-0.06
196411,0.40,0.19
196412,0.05,-0.50
196501,0.16,-0.37
196502,0.23,-0.27
196503,0.15,-0.22
196504,0.50,0.40
196505,0.01,-0.03
196506,0.00,-0.01
196507,0.04,-0.14
196508,0.17,-0.22
196509,0.01,-0.26
196510,0.00,-0.24
196511,0.70,0.49
196512,2.21,1.66
196601,0.47,-0.06
196602,0.15,-0.35
196603,0.28,-0.09
196604,0.00,-0.10
196605,0.04,0.00
196606,0.01,0.00
196607,0.08,-0.10
196608,0.16,-0.23
196609,0.48,0.21
196610,0.73,0.49
196611,0.10,-0.11
196612,0.09,-0.46
196701,0.35,-0.18
196702,0.00,-0.50
196703,0.10,-0.27
196704,0.02,-0.08
196705,0.00,-0.04
196706,0.00,-0.01
196707,0.02,-0.16
196708,0.61,0.22
196709,1.28,1.01
196710,0.00,-0.24
196711,1.05,0.84
196712,0.90,0.35
196801,0.01,-0.52
196802,0.22,-0.28
196803,0.55,0.18
196804,0.05,-0.05
196805,0.01,-0.03
196806,0.00,-0.01
196807,0.82,0.64
196808,0.11,-0.28
196809,0.00,-0.27
196810,0.03,-0.21
196811,0.01,-0.20
196812,0.09,-0.46
196901,1.11,0.58
196902,0.11,-0.39
196903,0.03,-0.34
196904,0.01,-0.09
196905,0.05,0.01
196906,0.00,-0.01
196907,0.09,-0.09
196908,0.17,-0.22
196909,0.67,0.40
196910,0.04,-0.20
196911,0.85,0.64
196912,0.32,-0.23
197001,0.04,-0.49
197002,0.80,0.30
197003,0.99,0.62
197004,0.00,-0.10
197005,0.00,-0.04
197006,0.00,-0.01
197007,0.01,-0.17
197008,0.35,-0.04
197009,0.06,-0.21
197010,0.02,-0.22
197011,0.07,-0.14
197012,0.19,-0.36
197101,0.11,-0.42
197102,0.06,-0.44
197103,0.00,-0.37
197104,0.17,0.07
197105,0.02,-0.02
197106,0.00,-0.01
197107,0.03,-0.15
197108,0.91,0.52
197109,0.56,0.29
197110,0.20,-0.04
197111,0.00,-0.21
197112,0.16,-0.39
197201,0.00,-0.53
197202,0.00,-0.50
197203,0.00,-0.37
197204,0.00,-0.10
197205,0.00,-0.04
197206,0.06,0.05
197207,0.01,-0.17
197208,0.16,-0.23
197209,0.01,-0.26
197210,1.27,1.03
197211,0.48,0.27
197212,0.04,-0.51
197301,0.05,-0.48
197302,0.65,0.15
197303,0.69,0.32
197304,0.00,-0.10
197305,0.00,-0.04
197306,0.00,-0.01
197307,0.00,-0.18
197308,0.28,-0.11
197309,0.00,-0.27
197310,0.00,-0.24
197311,0.12,-0.09
197312,0.00,-0.55
197401,1.24,0.71
197402,0.00,-0.50
197403,0.22,-0.15
197404,0.00,-0.10
197405,0.00,-0.04
197406,0.00,-0.01
197407,0.06,-0.12
197408,0.02,-0.37
197409,0.12,-0.15
197410,0.29,0.05
197411,0.00,-0.21
197412,0.50,-0.05
197501,0.03,-0.50
197502,0.03,-0.47
197503,0.20,-0.17
