Napa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198912,0.00,-5.64
199001,5.62,-1.25
199002,3.54,-2.34
199003,1.25,-3.07
199004,0.25,-1.66
199005,3.74,2.89
199006,0.01,-0.22
199007,0.00,-0.01
199008,0.01,-0.06
199009,0.22,-0.07
199010,0.48,-1.02
199011,0.48,-3.06
199012,1.05,-4.59
199101,0.61,-6.26
199102,4.07,-1.81
199103,13.37,9.05
199104,0.40,-1.51
199105,0.21,-0.64
199106,0.50,0.27
199107,0.00,-0.01
199108,0.19,0.12
199109,0.00,-0.29
199110,2.10,0.60
199111,1.13,-2.41
199112,3.19,-2.45
199201,2.45,-4.42
199202,9.18,3.30
199203,4.93,0.61
199204,1.13,-0.78
199205,0.04,-0.81
199206,0.86,0.63
199207,0.00,-0.01
199208,0.00,-0.07
199209,0.00,-0.29
199210,3.41,1.91
199211,0.40,-3.14
199212,10.80,5.16
199301,13.75,6.88
199302,7.57,1.69
199303,2.74,-1.58
199304,1.43,-0.48
199305,1.81,0.96
