Santa Cruz County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196203,4.74,-0.29
196204,0.53,-1.67
196205,0.07,-0.75
196206,0.08,-0.13
196207,0.01,-0.01
196208,0.14,0.09
196209,0.10,-0.18
196210,5.58,4.15
196211,0.69,-2.88
196212,4.10,-1.90
196301,8.39,1.20
196302,6.49,0.24
196303,6.20,1.17
196304,7.24,5.04
196305,0.74,-0.08
196306,0.02,-0.19
196307,0.01,-0.01
196308,0.04,-0.01
196309,0.29,0.01
196310,2.52,1.09
196311,7.46,3.89
196312,0.46,-5.54
196401,6.12,-1.07
196402,0.30,-5.95
196403,3.01,-2.02
196404,0.29,-1.91
196405,0.81,-0.01
196406,0.64,0.43
196407,0.01,-0.01
196408,0.17,0.12
196409,0.06,-0.22
196410,2.00,0.57
196411,5.65,2.08
196412,13.72,7.72
196501,5.92,-1.27
196502,1.57,-4.68
196503,3.09,-1.94
196504,4.47,2.27
196505,0.01,-0.81
196506,0.05,-0.16
196507,0.00,-0.02
196508,0.17,0.12
196509,0.01,-0.27
196510,0.11,-1.32
196511,8.43,4.86
196512,6.64,0.64
196601,3.30,-3.89
196602,3.39,-2.86
196603,0.49,-4.54
196604,0.77,-1.43
196605,0.18,-0.64
196606,0.07,-0.14
196607,0.13,0.11
196608,0.08,0.03
196609,0.22,-0.06
196610,0.01,-1.42
196611,7.47,3.90
196612,7.19,1.19
196701,11.85,4.66
196702,0.54,-5.71
196703,8.87,3.84
196704,8.21,6.01
196705,0.32,-0.50
196706,0.90,0.69
196707,0.00,-0.02
196708,0.00,-0.05
196709,0.03,-0.25
196710,0.38,-1.05
196711,2.05,-1.52
196712,4.26,-1.74
196801,7.57,0.38
196802,3.36,-2.89
196803,5.05,0.02
196804,1.02,-1.18
196805,0.55,-0.27
196806,0.01,-0.20
196807,0.00,-0.02
196808,0.26,0.21
196809,0.02,-0.26
196810,1.16,-0.27
196811,4.03,0.46
196812,7.89,1.89
196901,16.83,9.64
196902,13.01,6.76
196903,2.18,-2.85
196904,3.00,0.80
196905,0.04,-0.78
196906,0.16,-0.05
196907,0.00,-0.02
196908,0.01,-0.04
196909,0.08,-0.20
196910,1.95,0.52
196911,1.32,-2.25
196912,7.42,1.42
197001,13.35,6.16
197002,2.99,-3.26
197003,3.88,-1.15
197004,0.37,-1.83
197005,0.04,-0.78
197006,0.38,0.17
197007,0.00,-0.02
197008,0.00,-0.05
197009,0.00,-0.28
197010,0.91,-0.52
197011,10.88,7.31
197012,9.52,3.52
197101,2.18,-5.01
197102,0.84,-5.41
197103,3.64,-1.39
197104,1.83,-0.37
197105,0.61,-0.21
197106,0.00,-0.21
197107,0.00,-0.02
197108,0.10,0.05
197109,0.28,0.00
197110,0.15,-1.28
197111,2.82,-0.75
197112,8.29,2.29
197201,2.24,-4.95
197202,1.97,-4.28
197203,0.28,-4.75
197204,1.87,-0.33
197205,0.06,-0.76
197206,0.19,-0.02
197207,0.06,0.04
197208,0.01,-0.04
197209,0.85,0.57
197210,4.45,3.02
197211,10.26,6.69
197212,3.42,-2.58
197301,10.78,3.59
197302,12.76,6.51
197303,4.94,-0.09
197304,0.13,-2.07
197305,0.02,-0.80
197306,0.00,-0.21
197307,0.00,-0.02
197308,0.00,-0.05
197309,0.29,0.01
197310,3.15,1.72
197311,9.80,6.23
197312,7.62,1.62
197401,6.16,-1.03
197402,1.93,-4.32
197403,9.34,4.31
197404,4.11,1.91
197405,0.02,-0.80
197406,0.35,0.14
197407,0.14,0.12
197408,0.00,-0.05
197409,0.00,-0.28
197410,2.21,0.78
197411,1.48,-2.09
197412,4.86,-1.14
197501,1.98,-5.21
197502,7.56,1.31
197503,8.34,3.31
197504,2.57,0.37
197505,0.02,-0.80
197506,0.15,-0.06
197507,0.13,0.11
197508,0.33,0.28
197509,0.02,-0.26
197510,3.81,2.38
197511,0.67,-2.90
197512,0.56,-5.44
197601,0.40,-6.79
197602,2.71,-3.54
197603,2.26,-2.77
197604,2.01,-0.19
197605,0.04,-0.78
197606,0.19,-0.02
197607,0.04,0.02
197608,0.33,0.28
197609,1.17,0.89
197610,0.61,-0.82
197611,2.13,-1.44
197612,2.39,-3.61
197701,2.31,-4.88
197702,1.38,-4.87
197703,2.80,-2.23
