Mariposa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197501,2.72,-3.65
197502,8.13,2.34
197503,8.25,2.93
197504,4.60,1.87
197505,0.41,-0.90
197506,0.17,-0.23
197507,0.03,-0.06
197508,0.38,0.29
197509,0.38,-0.14
197510,4.47,2.91
197511,1.22,-2.21
197512,0.56,-4.63
197601,0.33,-6.04
197602,4.11,-1.68
197603,2.85,-2.47
197604,1.61,-1.12
197605,0.35,-0.96
197606,0.04,-0.36
197607,0.25,0.16
197608,0.47,0.38
197609,1.52,1.00
197610,0.77,-0.79
197611,1.18,-2.25
197612,0.52,-4.67
197701,1.85,-4.52
197702,1.64,-4.15
197703,1.77,-3.55
197704,0.14,-2.59
197705,2.67,1.36
197706,1.22,0.82
197707,0.01,-0.08
197708,0.01,-0.08
197709,0.19,-0.33
197710,0.22,-1.34
197711,3.46,0.03
197712,9.70,4.51
197801,10.29,3.92
197802,9.10,3.31
197803,8.81,3.49
197804,7.40,4.67
197805,0.05,-1.26
197806,0.22,-0.18
197807,0.05,-0.04
197808,0.05,-0.04
197809,2.59,2.07
197810,0.05,-1.51
197811,3.89,0.46
197812,3.09,-2.10
197901,9.44,3.07
197902,8.22,2.43
197903,6.26,0.94
197904,1.21,-1.52
197905,0.96,-0.35
197906,0.01,-0.39
197907,0.18,0.09
197908,0.01,-0.08
197909,0.02,-0.50
197910,2.32,0.76
197911,3.29,-0.14
197912,4.94,-0.25
198001,13.65,7.28
198002,11.24,5.45
198003,4.28,-1.04
198004,2.26,-0.47
198005,1.86,0.55
198006,0.09,-0.31
198007,0.18,0.09
198008,0.03,-0.06
198009,0.15,-0.37
198010,0.57,-0.99
198011,0.78,-2.65
198012,2.57,-2.62
198101,7.36,0.99
198102,2.25,-3.54
198103,6.56,1.24
198104,1.56,-1.17
198105,0.68,-0.63
198106,0.02,-0.38
198107,0.02,-0.07
198108,0.04,-0.05
198109,0.18,-0.34
198110,3.48,1.92
198111,7.53,4.10
198112,5.38,0.19
198201,9.19,2.82
198202,5.75,-0.04
198203,10.49,5.17
198204,6.40,3.67
198205,0.46,-0.85
198206,1.46,1.06
198207,0.13,0.04
198208,0.25,0.16
198209,2.56,2.04
198210,4.82,3.26
198211,8.41,4.98
198212,7.88,2.69
198301,9.01,2.64
198302,8.72,2.93
198303,12.59,7.27
198304,4.97,2.24
198305,0.92,-0.39
198306,0.23,-0.17
198307,0.00,-0.09
198308,0.33,0.24
198309,1.34,0.82
198310,1.17,-0.39
198311,10.97,7.54
198312,11.12,5.93
198401,0.29,-6.08
198402,3.51,-2.28
198403,2.32,-3.00
198404,1.68,-1.05
198405,0.33,-0.98
198406,0.87,0.47
198407,0.22,0.13
198408,0.07,-0.02
198409,0.25,-0.27
198410,2.79,1.23
198411,7.36,3.93
198412,1.81,-3.38
198501,1.00,-5.37
198502,2.80,-2.99
198503,5.72,0.40
198504,0.61,-2.12
198505,0.04,-1.27
198506,0.35,-0.05
198507,0.27,0.18
198508,0.07,-0.02
198509,1.12,0.60
198510,1.74,0.18
198511,6.24,2.81
198512,3.42,-1.77
198601,3.49,-2.88
198602,17.50,11.71
198603,7.91,2.59
198604,1.21,-1.52
198605,0.77,-0.54
198606,0.01,-0.39
198607,0.21,0.12
198608,0.01,-0.08
198609,1.88,1.36
198610,0.07,-1.49
198611,0.15,-3.28
198612,1.12,-4.07
198701,3.03,-3.34
198702,4.96,-0.83
198703,4.90,-0.42
198704,0.76,-1.97
198705,1.04,-0.27
198706,0.14,-0.26
198707,0.01,-0.08
198708,0.00,-0.09
198709,0.13,-0.39
198710,2.34,0.78
198711,2.16,-1.27
198712,4.09,-1.10
198801,4.36,-2.01
198802,0.96,-4.83
198803,1.22,-4.10
198804,4.10,1.37
198805,1.47,0.16
198806,0.21,-0.19
198807,0.25,0.16
198808,0.02,-0.07
198809,0.13,-0.39
198810,0.00,-1.56
198811,5.27,1.84
198812,5.36,0.17
198901,1.37,-5.00
198902,2.82,-2.97
198903,7.20,1.88
198904,0.86,-1.87
198905,1.33,0.02
198906,0.41,0.01
198907,0.00,-0.09
198908,0.15,0.06
198909,2.36,1.84
198910,3.71,2.15
198911,2.27,-1.16
198912,0.02,-5.17
199001,4.95,-1.42
199002,4.19,-1.60
199003,2.03,-3.29
199004,2.05,-0.68
199005,2.67,1.36
199006,0.15,-0.25
199007,0.21,0.12
199008,0.05,-0.04
199009,0.29,-0.23
199010,0.14,-1.42
199011,1.27,-2.16
199012,1.35,-3.84
199101,0.85,-5.52
199102,2.82,-2.97
199103,16.90,11.58
199104,0.70,-2.03
199105,1.16,-0.15
199106,0.37,-0.03
199107,0.01,-0.08
199108,0.08,-0.01
199109,0.12,-0.40
199110,3.68,2.12
199111,1.46,-1.97
199112,3.05,-2.14
199201,1.85,-4.52
199202,7.43,1.64
199203,3.61,-1.71
199204,0.44,-2.29
199205,0.21,-1.10
199206,0.58,0.18
199207,0.66,0.57
199208,0.05,-0.04
199209,0.05,-0.47
199210,2.55,0.99
199211,0.26,-3.17
199212,8.86,3.67
199301,13.12,6.75
199302,8.08,2.29
199303,5.19,-0.13
199304,1.32,-1.41
199305,1.38,0.07
199306,1.53,1.13
