Colusa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196312,0.65,-3.51
196401,3.13,-1.33
196402,0.09,-3.99
196403,1.56,-1.48
196404,0.23,-1.09
196405,0.41,-0.26
196406,0.50,0.21
196407,0.04,0.03
196408,0.01,-0.03
196409,0.16,-0.11
196410,1.81,0.70
196411,5.01,2.47
196412,7.25,3.09
196501,5.02,0.56
196502,0.79,-3.29
196503,1.02,-2.02
196504,3.22,1.90
196505,0.08,-0.59
196506,0.06,-0.23
196507,0.03,0.02
196508,0.36,0.32
196509,0.01,-0.26
196510,0.03,-1.08
196511,5.76,3.22
196512,2.92,-1.24
196601,3.50,-0.96
196602,3.22,-0.86
196603,0.51,-2.53
196604,0.54,-0.78
196605,0.15,-0.52
196606,0.05,-0.24
196607,0.03,0.02
196608,0.15,0.11
196609,0.16,-0.11
196610,0.00,-1.11
196611,6.90,4.36
196612,4.12,-0.04
196701,8.14,3.68
196702,0.47,-3.61
196703,3.89,0.85
196704,4.28,2.96
196705,0.09,-0.58
196706,1.48,1.19
196707,0.02,0.01
196708,0.01,-0.03
196709,0.11,-0.16
196710,0.54,-0.57
196711,1.75,-0.79
196712,2.50,-1.66
196801,6.31,1.85
196802,4.28,0.20
196803,2.61,-0.43
196804,0.36,-0.96
196805,0.33,-0.34
196806,0.32,0.03
196807,0.00,-0.01
196808,0.31,0.27
196809,0.01,-0.26
196810,0.90,-0.21
196811,3.07,0.53
196812,6.64,2.48
196901,7.99,3.53
196902,7.69,3.61
196903,2.00,-1.04
196904,1.29,-0.03
196905,0.03,-0.64
196906,0.27,-0.02
196907,0.01,0.00
196908,0.00,-0.04
196909,0.00,-0.27
196910,1.39,0.28
196911,0.71,-1.83
196912,7.72,3.56
197001,10.73,6.27
197002,2.46,-1.62
197003,1.65,-1.39
197004,0.34,-0.98
197005,0.03,-0.64
197006,0.39,0.10
197007,0.00,-0.01
197008,0.00,-0.04
197009,0.00,-0.27
197010,0.98,-0.13
197011,7.09,4.55
197012,5.61,1.45
197101,2.47,-1.99
197102,0.08,-4.00
197103,2.97,-0.07
197104,0.45,-0.87
197105,1.03,0.36
197106,0.03,-0.26
197107,0.00,-0.01
197108,0.02,-0.02
197109,0.13,-0.14
197110,0.33,-0.78
197111,1.40,-1.14
197112,5.64,1.48
197201,1.21,-3.25
197202,1.84,-2.24
197203,0.32,-2.72
197204,1.29,-0.03
197205,0.58,-0.09
197206,0.17,-0.12
197207,0.00,-0.01
197208,0.01,-0.03
197209,0.49,0.22
197210,2.87,1.76
197211,5.75,3.21
197212,2.99,-1.17
197301,9.29,4.83
197302,7.61,3.53
197303,2.80,-0.24
197304,0.13,-1.19
197305,0.15,-0.52
197306,0.01,-0.28
197307,0.00,-0.01
197308,0.00,-0.04
197309,0.25,-0.02
197310,2.10,0.99
197311,8.13,5.59
197312,4.37,0.21
197401,4.19,-0.27
197402,1.48,-2.60
