Mono County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194702,0.82,-1.60
194703,1.13,-0.91
194704,0.56,-0.55
194705,0.52,-0.39
194706,0.16,-0.34
194707,0.00,-0.47
194708,0.06,-0.44
194709,0.18,-0.35
194710,0.88,0.08
194711,0.52,-0.96
194712,0.64,-1.56
194801,0.74,-1.90
194802,1.22,-1.20
194803,1.63,-0.41
194804,2.10,0.99
194805,0.84,-0.07
194806,0.87,0.37
194807,0.00,-0.47
194808,0.01,-0.49
194809,0.15,-0.38
194810,0.87,0.07
194811,0.11,-1.37
194812,2.20,0.00
194901,1.57,-1.07
194902,1.50,-0.92
194903,2.62,0.58
194904,0.18,-0.93
194905,1.84,0.93
194906,0.06,-0.44
194907,0.27,-0.20
194908,0.26,-0.24
194909,0.11,-0.42
194910,0.13,-0.67
194911,1.21,-0.27
194912,0.73,-1.47
195001,2.33,-0.31
195002,1.14,-1.28
195003,1.73,-0.31
195004,0.98,-0.13
195005,0.26,-0.65
195006,0.11,-0.39
195007,0.72,0.25
195008,0.12,-0.38
195009,0.91,0.38
195010,1.49,0.69
195011,5.40,3.92
195012,3.66,1.46
195101,1.16,-1.48
195102,0.77,-1.65
195103,0.48,-1.56
195104,1.55,0.44
195105,0.65,-0.26
195106,0.65,0.15
195107,0.42,-0.05
195108,0.33,-0.17
195109,0.23,-0.30
195110,0.85,0.05
195111,2.29,0.81
195112,4.99,2.79
195201,3.74,1.10
195202,0.71,-1.71
195203,3.52,1.48
195204,2.10,0.99
195205,0.03,-0.88
195206,0.16,-0.34
195207,1.43,0.96
195208,0.15,-0.35
195209,0.49,-0.04
195210,0.02,-0.78
195211,1.15,-0.33
195212,2.40,0.20
195301,1.36,-1.28
195302,0.04,-2.38
195303,0.91,-1.13
195304,1.39,0.28
195305,2.50,1.59
195306,0.54,0.04
195307,0.44,-0.03
195308,0.27,-0.23
195309,0.05,-0.48
195310,0.55,-0.25
195311,0.64,-0.84
195312,0.35,-1.85
195401,3.15,0.51
195402,2.63,0.21
195403,2.90,0.86
195404,0.34,-0.77
195405,0.24,-0.67
195406,0.32,-0.18
195407,0.21,-0.26
195408,0.00,-0.50
195409,0.07,-0.46
195410,0.01,-0.79
195411,1.89,0.41
195412,1.64,-0.56
195501,1.81,-0.83
195502,0.82,-1.60
195503,0.26,-1.78
195504,0.92,-0.19
195505,1.53,0.62
195506,0.07,-0.43
195507,0.18,-0.29
195508,0.35,-0.15
195509,0.64,0.11
195510,0.04,-0.76
195511,1.13,-0.35
195512,9.86,7.66
195601,2.81,0.17
195602,0.49,-1.93
195603,0.08,-1.96
195604,2.69,1.58
195605,1.39,0.48
195606,0.10,-0.40
195607,0.96,0.49
195608,0.07,-0.43
195609,0.48,-0.05
195610,1.48,0.68
195611,0.01,-1.47
195612,0.36,-1.84
195701,2.66,0.02
195702,2.10,-0.32
195703,1.19,-0.85
195704,1.22,0.11
195705,2.67,1.76
195706,0.09,-0.41
195707,0.14,-0.33
195708,0.02,-0.48
195709,0.25,-0.28
195710,1.47,0.67
195711,1.28,-0.20
195712,2.10,-0.10
195801,1.61,-1.03
195802,3.40,0.98
195803,4.05,2.01
195804,2.26,1.15
195805,0.56,-0.35
195806,0.87,0.37
195807,0.34,-0.13
195808,1.20,0.70
195809,0.56,0.03
195810,0.21,-0.59
195811,0.67,-0.81
195812,0.72,-1.48
195901,1.46,-1.18
195902,4.56,2.14
195903,0.28,-1.76
195904,0.37,-0.74
195905,0.82,-0.09
195906,0.02,-0.48
195907,0.17,-0.30
195908,0.07,-0.43
195909,1.80,1.27
195910,0.03,-0.77
195911,0.00,-1.48
195912,0.51,-1.69
196001,1.56,-1.08
196002,2.73,0.31
196003,1.49,-0.55
196004,0.47,-0.64
196005,0.26,-0.65
196006,0.11,-0.39
196007,0.92,0.45
196008,0.07,-0.43
196009,0.30,-0.23
196010,0.55,-0.25
196011,3.87,2.39
196012,1.30,-0.90
196101,0.51,-2.13
196102,0.53,-1.89
196103,1.33,-0.71
196104,0.62,-0.49
196105,1.11,0.20
196106,0.35,-0.15
196107,0.51,0.04
196108,1.75,1.25
196109,0.33,-0.20
196110,0.36,-0.44
196111,1.39,-0.09
196112,0.86,-1.34
196201,1.39,-1.25
196202,7.23,4.81
196203,1.89,-0.15
196204,0.14,-0.97
196205,2.23,1.32
196206,0.66,0.16
196207,0.71,0.24
196208,0.11,-0.39
196209,0.80,0.27
196210,0.93,0.13
196211,0.27,-1.21
196212,0.45,-1.75
196301,5.23,2.59
196302,2.85,0.43
196303,2.37,0.33
196304,1.87,0.76
196305,2.14,1.23
196306,1.95,1.45
196307,0.01,-0.46
196308,0.65,0.15
196309,1.53,1.00
196310,0.82,0.02
196311,2.46,0.98
196312,0.31,-1.89
196401,1.45,-1.19
196402,0.17,-2.25
196403,1.03,-1.01
196404,1.12,0.01
196405,1.92,1.01
196406,0.19,-0.31
196407,0.45,-0.02
196408,0.51,0.01
196409,0.09,-0.44
196410,0.90,0.10
196411,1.74,0.26
196412,5.09,2.89
196501,2.38,-0.26
196502,0.57,-1.85
196503,0.69,-1.35
196504,1.70,0.59
196505,0.53,-0.38
196506,0.77,0.27
196507,1.42,0.95
196508,1.57,1.07
196509,0.48,-0.05
196510,0.12,-0.68
196511,6.50,5.02
196512,3.67,1.47
196601,0.54,-2.10
196602,0.53,-1.89
196603,0.16,-1.88
196604,0.46,-0.65
196605,0.30,-0.61
196606,0.19,-0.31
196607,0.14,-0.33
196608,0.62,0.12
196609,0.60,0.07
196610,0.02,-0.78
196611,1.99,0.51
196612,6.59,4.39
196701,4.84,2.20
196702,0.26,-2.16
196703,4.09,2.05
196704,2.82,1.71
196705,0.60,-0.31
196706,0.28,-0.22
196707,1.57,1.10
196708,0.92,0.42
196709,1.69,1.16
196710,0.10,-0.70
196711,1.56,0.08
196712,1.43,-0.77
196801,1.23,-1.41
196802,1.24,-1.18
196803,1.09,-0.95
196804,0.31,-0.80
196805,0.47,-0.44
196806,0.33,-0.17
196807,1.07,0.60
196808,0.53,0.03
196809,0.13,-0.40
196810,0.42,-0.38
196811,1.23,-0.25
196812,3.23,1.03
196901,10.28,7.64
196902,6.10,3.68
196903,1.24,-0.80
196904,0.72,-0.39
196905,0.55,-0.36
196906,1.69,1.19
196907,0.69,0.22
196908,0.21,-0.29
196909,0.04,-0.49
196910,1.01,0.21
196911,0.37,-1.11
196912,2.30,0.10
197001,4.20,1.56
197002,0.95,-1.47
197003,0.66,-1.38
197004,0.84,-0.27
197005,0.00,-0.91
197006,0.56,0.06
197007,0.83,0.36
197008,0.20,-0.30
197009,0.03,-0.50
197010,0.19,-0.61
197011,4.23,2.75
197012,2.24,0.04
197101,1.23,-1.41
197102,0.67,-1.75
197103,1.40,-0.64
197104,0.59,-0.52
197105,3.04,2.13
197106,0.12,-0.38
197107,1.12,0.65
197108,0.84,0.34
197109,0.30,-0.23
197110,0.58,-0.22
197111,1.51,0.03
197112,4.98,2.78
197201,0.38,-2.26
197202,0.21,-2.21
