Alpine County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198704,0.89,-1.92
198705,2.31,0.50
198706,0.95,0.12
198707,0.20,-0.25
198708,0.10,-0.34
198709,0.10,-0.73
198710,1.45,-0.39
198711,2.56,-1.24
198712,5.91,0.21
198801,4.85,-1.75
198802,0.42,-5.51
198803,0.87,-4.23
198804,2.20,-0.61
198805,1.44,-0.37
198806,0.72,-0.11
198807,0.21,-0.24
198808,0.64,0.20
198809,0.23,-0.60
198810,0.02,-1.82
198811,7.03,3.23
198812,5.05,-0.65
198901,1.87,-4.73
198902,3.31,-2.62
198903,9.87,4.77
198904,1.61,-1.20
198905,1.51,-0.30
198906,1.49,0.66
198907,0.05,-0.40
198908,0.96,0.52
198909,2.97,2.14
198910,3.34,1.50
198911,3.03,-0.77
198912,0.17,-5.53
199001,4.52,-2.08
199002,4.22,-1.71
199003,2.00,-3.10
199004,2.46,-0.35
199005,2.40,0.59
199006,0.33,-0.50
199007,1.42,0.97
199008,0.98,0.54
199009,0.77,-0.06
199010,0.66,-1.18
199011,1.34,-2.46
199012,1.65,-4.05
199101,0.41,-6.19
199102,1.57,-4.36
199103,13.93,8.83
199104,1.25,-1.56
199105,1.79,-0.02
199106,0.73,-0.10
199107,0.79,0.34
199108,0.78,0.34
199109,0.89,0.06
199110,4.41,2.57
199111,2.86,-0.94
199112,2.49,-3.21
199201,1.39,-5.21
199202,5.34,-0.59
199203,2.64,-2.46
199204,0.68,-2.13
199205,0.57,-1.24
199206,1.75,0.92
199207,1.03,0.58
199208,0.88,0.44
199209,0.39,-0.44
199210,3.07,1.23
199211,0.45,-3.35
199212,11.88,6.18
199301,10.98,4.38
199302,7.38,1.45
199303,4.79,-0.31
199304,2.03,-0.78
199305,1.33,-0.48
199306,1.65,0.82
199307,0.00,-0.45
