Tuolumne County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194707,0.00,-0.17
194708,0.01,-0.18
194709,0.19,-0.55
194710,5.04,2.98
194711,1.64,-2.69
194712,1.31,-5.06
194801,2.35,-5.33
194802,4.89,-2.14
194803,8.38,2.04
194804,9.15,5.76
194805,2.65,0.79
194806,0.51,-0.18
194807,0.00,-0.17
194808,0.00,-0.19
194809,0.10,-0.64
194810,1.14,-0.92
194811,1.00,-3.33
194812,7.29,0.92
194901,4.04,-3.64
194902,5.83,-1.20
194903,8.75,2.41
194904,0.25,-3.14
194905,2.42,0.56
194906,0.04,-0.65
194907,0.07,-0.10
194908,0.23,0.04
194909,0.15,-0.59
194910,0.22,-1.84
194911,3.94,-0.39
194912,3.05,-3.32
195001,11.13,3.45
195002,4.37,-2.66
195003,6.03,-0.31
195004,4.23,0.84
195005,1.71,-0.15
195006,0.20,-0.49
195007,0.13,-0.04
195008,0.04,-0.15
195009,0.48,-0.26
195010,5.52,3.46
195011,15.57,11.24
195012,12.72,6.35
195101,6.30,-1.38
195102,4.04,-2.99
195103,3.32,-3.02
195104,3.05,-0.34
195105,1.98,0.12
195106,0.63,-0.06
195107,0.06,-0.11
195108,0.05,-0.14
195109,0.07,-0.67
195110,2.69,0.63
195111,5.75,1.42
195112,14.16,7.79
195201,13.00,5.32
195202,5.10,-1.93
195203,9.59,3.25
195204,3.53,0.14
195205,0.58,-1.28
195206,0.51,-0.18
195207,0.79,0.62
195208,0.37,0.18
195209,0.75,0.01
195210,0.16,-1.90
195211,2.88,-1.45
195212,10.51,4.14
195301,6.10,-1.58
195302,0.22,-6.81
195303,4.12,-2.22
195304,4.31,0.92
195305,3.05,1.19
195306,1.60,0.91
195307,0.17,0.00
195308,0.07,-0.12
195309,0.08,-0.66
195310,1.40,-0.66
195311,3.48,-0.85
195312,2.46,-3.91
195401,7.24,-0.44
195402,5.87,-1.16
195403,9.42,3.08
195404,3.24,-0.15
195405,0.41,-1.45
195406,1.88,1.19
195407,0.02,-0.15
195408,0.00,-0.19
195409,0.00,-0.74
195410,0.00,-2.06
195411,3.90,-0.43
195412,7.35,0.98
195501,6.81,-0.87
195502,3.61,-3.42
195503,1.21,-5.13
195504,4.15,0.76
195505,1.93,0.07
195506,0.15,-0.54
195507,0.08,-0.09
195508,0.02,-0.17
195509,0.19,-0.55
195510,0.14,-1.92
195511,4.06,-0.27
195512,27.89,21.52
195601,11.22,3.54
195602,3.15,-3.88
195603,0.42,-5.92
195604,4.57,1.18
195605,4.03,2.17
195606,0.09,-0.60
195607,0.25,0.08
195608,0.02,-0.17
195609,0.77,0.03
195610,3.45,1.39
195611,0.03,-4.30
195612,1.91,-4.46
195701,5.92,-1.76
195702,6.48,-0.55
195703,5.86,-0.48
195704,2.97,-0.42
195705,6.14,4.28
195706,0.25,-0.44
195707,0.10,-0.07
195708,0.00,-0.19
195709,0.37,-0.37
195710,2.32,0.26
195711,2.57,-1.76
195712,5.94,-0.43
195801,6.86,-0.82
195802,10.11,3.08
195803,12.55,6.21
195804,7.95,4.56
195805,1.59,-0.27
195806,1.52,0.83
195807,0.32,0.15
195808,0.22,0.03
195809,1.15,0.41
195810,0.09,-1.97
195811,1.27,-3.06
195812,1.60,-4.77
195901,7.66,-0.02
195902,9.25,2.22
195903,1.47,-4.87
195904,2.13,-1.26
195905,1.12,-0.74
195906,0.00,-0.69
195907,0.02,-0.15
195908,0.20,0.01
195909,3.72,2.98
195910,0.01,-2.05
195911,0.00,-4.33
195912,1.64,-4.73
196001,5.89,-1.79
196002,9.63,2.60
196003,5.58,-0.76
196004,3.06,-0.33
196005,0.47,-1.39
196006,0.01,-0.68
196007,0.23,0.06
196008,0.01,-0.18
196009,0.43,-0.31
196010,0.64,-1.42
196011,6.61,2.28
196012,2.89,-3.48
196101,1.98,-5.70
196102,2.57,-4.46
196103,5.30,-1.04
196104,2.15,-1.24
196105,2.21,0.35
196106,0.48,-0.21
196107,0.41,0.24
196108,0.74,0.55
196109,0.96,0.22
196110,0.73,-1.33
196111,3.83,-0.50
196112,3.19,-3.18
196201,3.21,-4.47
196202,17.85,10.82
196203,6.00,-0.34
196204,1.10,-2.29
196205,1.42,-0.44
196206,0.24,-0.45
196207,0.34,0.17
196208,0.17,-0.02
196209,0.46,-0.28
196210,3.51,1.45
196211,1.01,-3.32
196212,2.80,-3.57
196301,8.98,1.30
196302,8.57,1.54
196303,6.89,0.55
196304,8.68,5.29
196305,3.48,1.62
196306,1.66,0.97
196307,0.00,-0.17
196308,0.13,-0.06
196309,0.95,0.21
196310,2.49,0.43
196311,8.73,4.40
196312,0.79,-5.58
196401,5.44,-2.24
196402,0.22,-6.81
196403,4.43,-1.91
196404,2.31,-1.08
196405,3.06,1.20
196406,1.37,0.68
196407,0.11,-0.06
196408,0.26,0.07
196409,0.31,-0.43
196410,2.40,0.34
196411,7.66,3.33
196412,20.07,13.70
196501,6.82,-0.86
196502,2.00,-5.03
196503,3.22,-3.12
196504,5.74,2.35
196505,0.53,-1.33
196506,0.51,-0.18
196507,0.40,0.23
196508,0.94,0.75
196509,0.39,-0.35
196510,0.61,-1.45
196511,13.66,9.33
196512,6.44,0.07
196601,2.14,-5.54
196602,2.59,-4.44
196603,0.95,-5.39
196604,2.08,-1.31
196605,0.55,-1.31
196606,0.19,-0.50
196607,0.11,-0.06
196608,0.08,-0.11
196609,0.43,-0.31
196610,0.01,-2.05
196611,7.63,3.30
196612,10.85,4.48
196701,10.14,2.46
196702,0.81,-6.22
196703,10.74,4.40
196704,11.91,8.52
196705,1.58,-0.28
196706,1.42,0.73
196707,0.22,0.05
196708,0.48,0.29
196709,1.18,0.44
196710,0.78,-1.28
196711,3.51,-0.82
196712,4.45,-1.92
196801,5.11,-2.57
196802,4.91,-2.12
196803,4.09,-2.25
196804,0.95,-2.44
196805,1.28,-0.58
196806,0.25,-0.44
196807,0.23,0.06
196808,0.62,0.43
196809,0.05,-0.69
196810,2.49,0.43
196811,6.38,2.05
196812,9.71,3.34
196901,23.22,15.54
196902,12.48,5.45
196903,3.75,-2.59
196904,4.36,0.97
196905,0.33,-1.53
196906,1.03,0.34
196907,0.11,-0.06
196908,0.04,-0.15
196909,0.28,-0.46
196910,4.19,2.13
196911,2.46,-1.87
196912,7.26,0.89
197001,15.94,8.26
197002,3.31,-3.72
197003,3.83,-2.51
197004,2.78,-0.61
197005,0.02,-1.84
197006,2.06,1.37
197007,0.08,-0.09
197008,0.01,-0.18
197009,0.03,-0.71
197010,0.94,-1.12
197011,10.49,6.16
197012,10.09,3.72
197101,3.40,-4.28
197102,1.40,-5.63
197103,4.96,-1.38
197104,1.30,-2.09
197105,3.04,1.18
197106,0.46,-0.23
197107,0.27,0.10
197108,0.26,0.07
197109,0.80,0.06
197110,0.66,-1.40
197111,5.66,1.33
197112,10.83,4.46
197201,2.20,-5.48
197202,2.43,-4.60
197203,0.35,-5.99
197204,4.10,0.71
197205,0.43,-1.43
197206,0.78,0.09
197207,0.02,-0.15
197208,0.19,0.00
197209,0.98,0.24
197210,1.73,-0.33
197211,6.33,2.00
197212,5.78,-0.59
197301,9.47,1.79
197302,10.30,3.27
197303,5.81,-0.53
197304,0.99,-2.40
197305,0.93,-0.93
197306,0.36,-0.33
197307,0.06,-0.11
197308,0.38,0.19
197309,0.10,-0.64
197310,3.28,1.22
197311,9.81,5.48
197312,9.01,2.64
197401,5.70,-1.98
197402,1.62,-5.41
197403,9.45,3.11
197404,5.06,1.67
197405,0.27,-1.59
197406,0.14,-0.55
197407,1.11,0.94
197408,0.13,-0.06
197409,0.00,-0.74
197410,3.39,1.33
197411,2.21,-2.12
197412,4.28,-2.09
197501,3.26,-4.42
197502,10.41,3.38
197503,10.52,4.18
197504,5.67,2.28
197505,0.72,-1.14
197506,0.44,-0.25
197507,0.10,-0.07
197508,0.83,0.64
197509,0.45,-0.29
197510,6.09,4.03
197511,1.72,-2.61
197512,0.68,-5.69
197601,0.54,-7.14
197602,3.89,-3.14
197603,3.13,-3.21
197604,2.21,-1.18
197605,0.88,-0.98
197606,0.09,-0.60
197607,0.54,0.37
197608,0.90,0.71
197609,1.51,0.77
197610,0.89,-1.17
197611,1.41,-2.92
197612,0.35,-6.02
197701,2.59,-5.09
197702,2.63,-4.40
197703,2.15,-4.19
197704,0.50,-2.89
197705,3.80,1.94
197706,1.27,0.58
197707,0.07,-0.10
197708,0.04,-0.15
197709,0.42,-0.32
197710,0.30,-1.76
197711,5.22,0.89
197712,11.53,5.16
197801,11.48,3.80
197802,9.47,2.44
197803,9.06,2.72
197804,8.22,4.83
197805,0.25,-1.61
197806,0.29,-0.40
197807,0.04,-0.13
197808,0.22,0.03
197809,3.50,2.76
197810,0.20,-1.86
197811,4.36,0.03
197812,3.74,-2.63
197901,10.37,2.69
197902,9.56,2.53
197903,6.92,0.58
197904,1.89,-1.50
197905,1.58,-0.28
197906,0.02,-0.67
197907,0.21,0.04
197908,0.10,-0.09
197909,0.05,-0.69
197910,3.37,1.31
197911,3.97,-0.36
197912,6.49,0.12
198001,16.96,9.28
198002,12.97,5.94
198003,4.65,-1.69
198004,3.12,-0.27
198005,2.63,0.77
198006,0.35,-0.34
198007,0.43,0.26
198008,0.07,-0.12
198009,0.40,-0.34
198010,0.76,-1.30
198011,1.11,-3.22
198012,3.25,-3.12
198101,9.40,1.72
198102,2.94,-4.09
198103,7.68,1.34
198104,2.37,-1.02
198105,1.37,-0.49
198106,0.06,-0.63
198107,0.06,-0.11
198108,0.04,-0.15
198109,0.37,-0.37
198110,5.09,3.03
198111,9.85,5.52
198112,8.56,2.19
198201,11.06,3.38
198202,6.96,-0.07
198203,12.51,6.17
198204,7.92,4.53
198205,0.62,-1.24
198206,1.64,0.95
198207,0.17,0.00
198208,0.40,0.21
198209,3.77,3.03
198210,6.51,4.45
198211,10.62,6.29
198212,8.77,2.40
198301,10.72,3.04
198302,11.83,4.80
198303,15.14,8.80
198304,6.22,2.83
198305,1.26,-0.60
198306,0.36,-0.33
198307,0.01,-0.16
198308,0.84,0.65
198309,2.07,1.33
198310,1.36,-0.70
198311,15.95,11.62
198312,13.50,7.13
198401,0.59,-7.09
198402,4.99,-2.04
198403,3.32,-3.02
198404,2.53,-0.86
198405,0.58,-1.28
198406,1.32,0.63
198407,0.51,0.34
198408,0.21,0.02
198409,0.28,-0.46
198410,3.68,1.62
198411,10.02,5.69
198412,2.40,-3.97
198501,1.42,-6.26
198502,3.77,-3.26
198503,7.88,1.54
198504,0.81,-2.58
198505,0.06,-1.80
198506,0.40,-0.29
198507,0.42,0.25
198508,0.15,-0.04
198509,2.20,1.46
198510,2.55,0.49
198511,7.61,3.28
198512,4.89,-1.48
198601,4.73,-2.95
198602,22.38,15.35
198603,8.92,2.58
198604,1.96,-1.43
198605,1.10,-0.76
198606,0.09,-0.60
198607,0.41,0.24
198608,0.05,-0.14
198609,2.30,1.56
198610,0.24,-1.82
198611,0.30,-4.03
198612,1.21,-5.16
198701,4.25,-3.43
198702,5.87,-1.16
198703,5.44,-0.90
198704,0.95,-2.44
198705,1.76,-0.10
198706,0.34,-0.35
198707,0.08,-0.09
198708,0.03,-0.16
198709,0.06,-0.68
198710,2.26,0.20
198711,2.91,-1.42
198712,5.76,-0.61
198801,5.48,-2.20
198802,0.80,-6.23
198803,1.28,-5.06
198804,3.95,0.56
198805,1.83,-0.03
198806,0.53,-0.16
198807,0.18,0.01
198808,0.14,-0.05
198809,0.20,-0.54
198810,0.02,-2.04
198811,6.86,2.53
198812,5.99,-0.38
198901,1.77,-5.91
198902,3.53,-3.50
198903,9.98,3.64
198904,1.42,-1.97
198905,1.66,-0.20
198906,0.76,0.07
198907,0.00,-0.17
198908,0.41,0.22
198909,3.27,2.53
198910,4.66,2.60
