Mendocino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196212,6.40,-3.00
196301,5.61,-4.86
196302,6.10,-2.72
196303,9.19,2.16
196304,10.98,7.55
196305,1.17,-0.40
196306,0.08,-0.42
196307,0.02,-0.02
196308,0.02,-0.11
196309,0.11,-0.55
196310,5.26,2.38
196311,12.66,5.98
196312,2.42,-6.98
196401,10.05,-0.42
196402,0.58,-8.24
196403,4.47,-2.56
196404,0.57,-2.86
196405,1.37,-0.20
196406,0.57,0.07
196407,0.09,0.05
196408,0.02,-0.11
196409,0.03,-0.63
196410,2.70,-0.18
196411,12.27,5.59
196412,26.70,17.30
196501,11.04,0.57
196502,1.85,-6.97
196503,2.60,-4.43
196504,6.78,3.35
196505,0.06,-1.51
196506,0.11,-0.39
196507,0.06,0.02
196508,0.74,0.61
196509,0.01,-0.65
196510,0.59,-2.29
196511,12.95,6.27
196512,6.83,-2.57
196601,13.14,2.67
196602,6.10,-2.72
196603,4.31,-2.72
196604,2.09,-1.34
196605,0.11,-1.46
196606,0.05,-0.45
196607,0.01,-0.03
196608,0.34,0.21
196609,0.39,-0.27
196610,0.03,-2.85
196611,13.04,6.36
196612,9.52,0.12
196701,14.79,4.32
196702,0.86,-7.96
196703,10.89,3.86
196704,7.05,3.62
196705,0.74,-0.83
196706,1.18,0.68
196707,0.00,-0.04
196708,0.02,-0.11
196709,0.23,-0.43
196710,3.30,0.42
196711,4.81,-1.87
196712,7.39,-2.01
196801,12.38,1.91
196802,7.39,-1.43
196803,5.99,-1.04
196804,0.55,-2.88
196805,1.47,-0.10
196806,0.05,-0.45
196807,0.00,-0.04
196808,0.98,0.85
196809,0.23,-0.43
196810,2.72,-0.16
196811,5.82,-0.86
196812,18.78,9.38
196901,19.56,9.09
196902,13.13,4.31
196903,2.59,-4.44
196904,3.64,0.21
196905,0.25,-1.32
196906,0.29,-0.21
196907,0.00,-0.04
196908,0.00,-0.13
196909,0.21,-0.45
196910,3.37,0.49
196911,2.46,-4.22
196912,17.40,8.00
197001,26.25,15.78
197002,4.92,-3.90
197003,3.51,-3.52
197004,1.13,-2.30
197005,0.46,-1.11
197006,0.48,-0.02
197007,0.00,-0.04
197008,0.00,-0.13
197009,0.01,-0.65
197010,3.60,0.72
197011,13.63,6.95
197012,15.78,6.38
197101,9.89,-0.58
197102,1.13,-7.69
197103,11.67,4.64
197104,2.72,-0.71
197105,1.32,-0.25
197106,0.21,-0.29
197107,0.01,-0.03
197108,0.43,0.30
197109,0.93,0.27
197110,0.89,-1.99
197111,6.02,-0.66
197112,9.20,-0.20
197201,6.44,-4.03
197202,7.17,-1.65
197203,3.95,-3.08
197204,3.48,0.05
197205,0.87,-0.70
197206,0.45,-0.05
197207,0.01,-0.03
197208,0.35,0.22
197209,2.16,1.50
197210,3.51,0.63
197211,8.67,1.99
197212,9.60,0.20
197301,16.56,6.09
197302,9.67,0.85
197303,6.27,-0.76
197304,0.70,-2.73
197305,0.34,-1.23
197306,0.01,-0.49
197307,0.01,-0.03
197308,0.07,-0.06
197309,2.01,1.35
197310,5.23,2.35
197311,20.77,14.09
197312,10.49,1.09
197401,13.86,3.39
197402,7.03,-1.79
197403,14.50,7.47
197404,4.89,1.46
197405,0.28,-1.29
197406,0.24,-0.26
197407,0.25,0.21
197408,0.19,0.06
197409,0.00,-0.66
197410,2.71,-0.17
197411,2.44,-4.24
197412,7.60,-1.80
197501,6.37,-4.10
197502,15.96,7.14
197503,17.79,10.76
197504,3.16,-0.27
197505,0.31,-1.26
197506,0.11,-0.39
197507,0.20,0.16
197508,0.48,0.35
197509,0.03,-0.63
197510,6.66,3.78
197511,3.38,-3.30
197512,4.00,-5.40
197601,1.23,-9.24
197602,9.49,0.67
197603,2.56,-4.47
197604,4.12,0.69
197605,0.07,-1.50
197606,0.09,-0.41
197607,0.06,0.02
197608,0.98,0.85
197609,0.24,-0.42
197610,0.40,-2.48
197611,2.95,-3.73
197612,0.90,-8.50
197701,3.09,-7.38
197702,3.92,-4.90
197703,4.06,-2.97
197704,0.54,-2.89
197705,2.53,0.96
197706,0.06,-0.44
197707,0.01,-0.03
197708,0.49,0.36
197709,2.95,2.29
197710,1.99,-0.89
197711,6.74,0.06
197712,13.04,3.64
197801,18.34,7.87
197802,10.27,1.45
197803,8.22,1.19
197804,7.12,3.69
197805,0.77,-0.80
197806,0.05,-0.45
197807,0.00,-0.04
197808,0.27,0.14
197809,2.65,1.99
197810,0.00,-2.88
197811,2.01,-4.67
197812,1.40,-8.00
197901,10.76,0.29
197902,13.92,5.10
197903,4.73,-2.30
197904,2.78,-0.65
197905,2.22,0.65
197906,0.01,-0.49
197907,0.09,0.05
197908,0.04,-0.09
197909,0.39,-0.27
197910,7.35,4.47
197911,10.89,4.21
197912,7.89,-1.51
198001,10.18,-0.29
198002,13.50,4.68
198003,4.62,-2.41
198004,4.11,0.68
198005,1.03,-0.54
