Santa Clara County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194406,0.16,0.02
194407,0.01,0.00
194408,0.00,-0.05
194409,0.00,-0.24
194410,1.92,0.89
194411,5.21,2.74
194412,3.16,-0.95
194501,0.67,-4.17
194502,6.18,1.98
194503,4.08,0.37
194504,0.36,-1.30
194505,0.58,-0.08
194506,0.05,-0.09
194507,0.00,-0.01
194508,0.05,0.00
194509,0.01,-0.23
194510,2.38,1.35
194511,2.41,-0.06
194512,7.52,3.41
194601,1.19,-3.65
194602,2.57,-1.63
194603,2.49,-1.22
194604,0.10,-1.56
194605,0.99,0.33
194606,0.00,-0.14
194607,0.04,0.03
194608,0.00,-0.05
194609,0.05,-0.19
194610,0.20,-0.83
194611,5.18,2.71
194612,3.10,-1.01
194701,0.90,-3.94
194702,2.17,-2.03
194703,3.01,-0.70
194704,0.36,-1.30
194705,0.40,-0.26
194706,0.36,0.22
194707,0.00,-0.01
194708,0.00,-0.05
194709,0.00,-0.24
194710,2.78,1.75
194711,1.15,-1.32
194712,1.45,-2.66
194801,0.39,-4.45
194802,1.90,-2.30
194803,3.83,0.12
194804,5.00,3.34
194805,1.06,0.40
194806,0.08,-0.06
194807,0.00,-0.01
194808,0.00,-0.05
194809,0.00,-0.24
194810,0.59,-0.44
194811,0.39,-2.08
194812,5.27,1.16
194901,1.50,-3.34
194902,3.09,-1.11
194903,6.39,2.68
194904,0.04,-1.62
194905,0.50,-0.16
194906,0.00,-0.14
194907,0.03,0.02
194908,0.13,0.08
194909,0.04,-0.20
194910,0.21,-0.82
194911,2.13,-0.34
194912,2.35,-1.76
195001,6.76,1.92
195002,2.60,-1.60
195003,2.05,-1.66
195004,1.48,-0.18
195005,0.50,-0.16
195006,0.02,-0.12
195007,0.01,0.00
195008,0.01,-0.04
195009,0.14,-0.10
195010,2.64,1.61
195011,6.91,4.44
195012,6.58,2.47
195101,3.41,-1.43
195102,2.62,-1.58
195103,1.77,-1.94
195104,1.05,-0.61
195105,0.74,0.08
195106,0.03,-0.11
195107,0.00,-0.01
195108,0.03,-0.02
195109,0.04,-0.20
195110,1.27,0.24
195111,3.63,1.16
195112,8.96,4.85
195201,9.64,4.80
195202,2.35,-1.85
195203,6.10,2.39
195204,1.94,0.28
195205,0.19,-0.47
195206,0.18,0.04
195207,0.02,0.01
195208,0.00,-0.05
195209,0.06,-0.18
195210,0.04,-0.99
195211,2.63,0.16
195212,9.04,4.93
195301,3.35,-1.49
195302,0.03,-4.17
195303,2.57,-1.14
195304,2.36,0.70
195305,0.59,-0.07
195306,0.21,0.07
195307,0.00,-0.01
195308,0.16,0.11
195309,0.00,-0.24
195310,0.35,-0.68
195311,2.51,0.04
195312,0.82,-3.29
195401,3.94,-0.90
195402,3.25,-0.95
195403,4.89,1.18
195404,1.48,-0.18
195405,0.21,-0.45
195406,0.37,0.23
195407,0.00,-0.01
195408,0.07,0.02
195409,0.00,-0.24
195410,0.03,-1.00
195411,2.91,0.44
195412,4.71,0.60
195501,5.81,0.97
195502,2.45,-1.75
195503,0.44,-3.27
195504,2.59,0.93
195505,0.86,0.20
195506,0.00,-0.14
195507,0.01,0.00
195508,0.01,-0.04
195509,0.01,-0.23
195510,0.03,-1.00
195511,1.92,-0.55
195512,17.36,13.25
195601,7.61,2.77
195602,2.32,-1.88
195603,0.17,-3.54
195604,2.20,0.54
195605,1.09,0.43
195606,0.00,-0.14
195607,0.02,0.01
195608,0.02,-0.03
195609,0.47,0.23
195610,1.66,0.63
195611,0.03,-2.44
195612,0.83,-3.28
195701,4.08,-0.76
195702,4.33,0.13
195703,2.13,-1.58
195704,1.63,-0.03
195705,2.68,2.02
195706,0.16,0.02
195707,0.00,-0.01
195708,0.00,-0.05
195709,0.40,0.16
195710,1.86,0.83
195711,0.77,-1.70
195712,4.85,0.74
195801,5.52,0.68
195802,9.08,4.88
195803,8.40,4.69
195804,6.21,4.55
195805,0.60,-0.06
195806,0.29,0.15
195807,0.02,0.01
195808,0.01,-0.04
195809,0.24,0.00
195810,0.04,-0.99
195811,0.45,-2.02
195812,0.92,-3.19
195901,5.85,1.01
195902,6.95,2.75
195903,0.41,-3.30
195904,0.59,-1.07
195905,0.03,-0.63
195906,0.00,-0.14
195907,0.00,-0.01
195908,0.03,-0.02
195909,1.31,1.07
195910,0.01,-1.02
195911,0.00,-2.47
195912,1.00,-3.11
196001,4.43,-0.41
196002,5.55,1.35
196003,1.14,-2.57
196004,1.65,-0.01
196005,0.46,-0.20
196006,0.00,-0.14
196007,0.01,0.00
196008,0.00,-0.05
196009,0.05,-0.19
196010,0.13,-0.90
196011,4.21,1.74
196012,1.49,-2.62
196101,2.42,-2.42
196102,1.21,-2.99
196103,2.81,-0.90
196104,1.21,-0.45
196105,0.77,0.11
196106,0.12,-0.02
196107,0.01,0.00
196108,0.11,0.06
196109,0.19,-0.05
196110,0.11,-0.92
196111,3.27,0.80
196112,1.98,-2.13
196201,2.12,-2.72
196202,9.76,5.56
196203,3.13,-0.58
196204,0.29,-1.37
196205,0.05,-0.61
196206,0.02,-0.12
196207,0.00,-0.01
196208,0.08,0.03
196209,0.03,-0.21
196210,4.22,3.19
196211,0.47,-2.00
196212,2.79,-1.32
196301,5.21,0.37
196302,4.86,0.66
196303,4.40,0.69
196304,5.38,3.72
196305,0.62,-0.04
196306,0.04,-0.10
196307,0.00,-0.01
196308,0.04,-0.01
196309,0.29,0.05
196310,1.79,0.76
196311,4.76,2.29
196312,0.34,-3.77
196401,4.42,-0.42
196402,0.20,-4.00
196403,2.03,-1.68
196404,0.36,-1.30
196405,0.57,-0.09
196406,0.55,0.41
196407,0.01,0.00
196408,0.18,0.13
196409,0.06,-0.18
196410,1.49,0.46
196411,3.89,1.42
196412,8.52,4.41
196501,3.85,-0.99
196502,0.95,-3.25
196503,2.31,-1.40
196504,3.82,2.16
196505,0.01,-0.65
196506,0.01,-0.13
196507,0.01,0.00
196508,0.28,0.23
196509,0.01,-0.23
196510,0.10,-0.93
196511,6.83,4.36
196512,4.76,0.65
196601,1.87,-2.97
196602,1.98,-2.22
196603,0.37,-3.34
196604,0.62,-1.04
196605,0.22,-0.44
196606,0.07,-0.07
196607,0.09,0.08
196608,0.03,-0.02
196609,0.16,-0.08
196610,0.00,-1.03
196611,5.10,2.63
196612,4.79,0.68
196701,8.61,3.77
196702,0.31,-3.89
196703,6.45,2.74
196704,6.22,4.56
196705,0.25,-0.41
196706,0.59,0.45
196707,0.00,-0.01
196708,0.00,-0.05
196709,0.02,-0.22
196710,0.34,-0.69
196711,1.64,-0.83
196712,3.02,-1.09
196801,5.09,0.25
196802,1.80,-2.40
196803,3.45,-0.26
196804,0.78,-0.88
196805,0.37,-0.29
196806,0.00,-0.14
196807,0.00,-0.01
196808,0.23,0.18
196809,0.00,-0.24
196810,0.75,-0.28
196811,3.18,0.71
196812,4.78,0.67
196901,12.08,7.24
196902,9.16,4.96
196903,1.58,-2.13
196904,2.19,0.53
196905,0.03,-0.63
196906,0.06,-0.08
196907,0.00,-0.01
196908,0.00,-0.05
196909,0.24,0.00
196910,1.52,0.49
196911,1.12,-1.35
196912,4.02,-0.09
197001,8.65,3.81
197002,2.15,-2.05
197003,2.82,-0.89
197004,0.43,-1.23
197005,0.03,-0.63
197006,0.20,0.06
197007,0.00,-0.01
197008,0.00,-0.05
197009,0.00,-0.24
197010,0.58,-0.45
197011,7.52,5.05
197012,6.70,2.59
197101,1.63,-3.21
197102,0.65,-3.55
197103,2.53,-1.18
197104,1.75,0.09
197105,0.50,-0.16
197106,0.00,-0.14
197107,0.00,-0.01
197108,0.06,0.01
197109,0.20,-0.04
197110,0.13,-0.90
197111,1.50,-0.97
