Orange County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194808,0.00,-0.05
194809,0.00,-0.20
194810,0.28,-0.20
194811,0.01,-1.18
194812,2.23,0.14
194901,2.72,-0.14
194902,1.59,-1.36
194903,1.12,-1.30
194904,0.03,-0.97
194905,0.62,0.37
194906,0.00,-0.06
194907,0.00,-0.02
194908,0.00,-0.05
194909,0.00,-0.20
194910,0.10,-0.38
194911,1.31,0.12
194912,2.41,0.32
195001,2.58,-0.28
195002,2.00,-0.95
195003,0.86,-1.56
195004,0.65,-0.35
195005,0.14,-0.11
195006,0.02,-0.04
195007,0.02,0.00
195008,0.01,-0.04
195009,0.04,-0.16
195010,0.05,-0.43
195011,1.65,0.46
195012,0.04,-2.05
195101,2.07,-0.79
195102,0.99,-1.96
195103,0.63,-1.79
195104,1.82,0.82
195105,0.18,-0.07
195106,0.00,-0.06
195107,0.01,-0.01
195108,0.15,0.10
195109,0.22,0.02
195110,0.56,0.08
195111,0.99,-0.20
195112,5.52,3.43
195201,7.41,4.55
195202,0.34,-2.61
195203,5.78,3.36
195204,1.57,0.57
195205,0.00,-0.25
195206,0.01,-0.05
195207,0.01,-0.01
195208,0.00,-0.05
195209,0.31,0.11
195210,0.00,-0.48
195211,3.43,2.24
195212,3.07,0.98
195301,1.04,-1.82
195302,0.48,-2.47
195303,0.77,-1.65
195304,1.06,0.06
195305,0.06,-0.19
195306,0.03,-0.03
195307,0.02,0.00
195308,0.01,-0.04
195309,0.00,-0.20
195310,0.06,-0.42
195311,1.06,-0.13
195312,0.21,-1.88
195401,4.99,2.13
195402,2.44,-0.51
195403,3.47,1.05
195404,0.14,-0.86
195405,0.02,-0.23
195406,0.02,-0.04
195407,0.03,0.01
195408,0.00,-0.05
195409,0.00,-0.20
195410,0.00,-0.48
195411,1.62,0.43
195412,0.90,-1.19
195501,4.05,1.19
195502,1.39,-1.56
195503,0.31,-2.11
195504,1.36,0.36
195505,0.99,0.74
195506,0.02,-0.04
195507,0.00,-0.02
195508,0.00,-0.05
195509,0.00,-0.20
195510,0.00,-0.48
195511,1.20,0.01
195512,0.72,-1.37
195601,7.34,4.48
195602,0.46,-2.49
195603,0.00,-2.42
195604,2.43,1.43
195605,0.46,0.21
195606,0.00,-0.06
195607,0.05,0.03
195608,0.00,-0.05
195609,0.00,-0.20
195610,0.20,-0.28
195611,0.00,-1.19
195612,0.31,-1.78
195701,4.48,1.62
195702,1.15,-1.80
195703,1.01,-1.41
195704,1.28,0.28
195705,0.93,0.68
195706,0.16,0.10
195707,0.05,0.03
195708,0.00,-0.05
195709,0.00,-0.20
195710,2.04,1.56
195711,0.69,-0.50
195712,3.32,1.23
195801,1.50,-1.36
195802,5.67,2.72
195803,5.36,2.94
195804,4.19,3.19
195805,0.12,-0.13
195806,0.02,-0.04
195807,0.01,-0.01
195808,0.15,0.10
195809,0.30,0.10
195810,0.21,-0.27
195811,0.14,-1.05
195812,0.01,-2.08
195901,1.55,-1.31
195902,3.35,0.40
195903,0.00,-2.42
195904,0.67,-0.33
195905,0.02,-0.23
195906,0.00,-0.06
195907,0.01,-0.01
195908,0.01,-0.04
195909,0.03,-0.17
195910,0.03,-0.45
195911,0.18,-1.01
195912,1.82,-0.27
196001,2.61,-0.25
196002,2.64,-0.31
196003,0.51,-1.91
196004,1.52,0.52
196005,0.09,-0.16
196006,0.00,-0.06
196007,0.02,0.00
196008,0.00,-0.05
196009,0.02,-0.18
196010,0.22,-0.26
196011,2.12,0.93
196012,0.16,-1.93
196101,0.93,-1.93
196102,0.02,-2.93
196103,0.73,-1.69
196104,0.09,-0.91
196105,0.02,-0.23
196106,0.02,-0.04
196107,0.00,-0.02
196108,0.11,0.06
196109,0.03,-0.17
196110,0.05,-0.43
196111,1.40,0.21
196112,1.87,-0.22
196201,2.43,-0.43
196202,7.63,4.68
196203,1.16,-1.26
196204,0.00,-1.00
196205,0.43,0.18
196206,0.06,0.00
196207,0.00,-0.02
196208,0.00,-0.05
196209,0.00,-0.20
196210,0.08,-0.40
196211,0.02,-1.17
196212,0.04,-2.05
196301,0.26,-2.60
196302,3.96,1.01
196303,2.00,-0.42
196304,1.64,0.64
196305,0.01,-0.24
196306,0.15,0.09
196307,0.00,-0.02
196308,0.06,0.01
196309,1.18,0.98
196310,0.57,0.09
196311,3.07,1.88
196312,0.01,-2.08
196401,1.44,-1.42
196402,0.14,-2.81
196403,1.62,-0.80
196404,0.66,-0.34
196405,0.12,-0.13
196406,0.22,0.16
196407,0.00,-0.02
196408,0.00,-0.05
196409,0.12,-0.08
196410,0.16,-0.32
196411,1.49,0.30
196412,1.52,-0.57
