San Benito County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195103,0.69,-2.12
195104,0.94,-0.32
195105,0.27,-0.18
195106,0.00,-0.07
195107,0.00,-0.01
195108,0.00,-0.02
195109,0.01,-0.19
195110,0.83,0.17
195111,2.64,0.97
195112,6.45,3.64
195201,6.38,2.93
195202,1.16,-2.16
195203,4.76,1.95
195204,1.78,0.52
195205,0.04,-0.41
195206,0.01,-0.06
195207,0.00,-0.01
195208,0.00,-0.02
195209,0.10,-0.10
195210,0.00,-0.66
195211,2.21,0.54
195212,6.81,4.00
195301,1.55,-1.90
195302,0.03,-3.29
195303,0.98,-1.83
195304,1.64,0.38
195305,0.38,-0.07
195306,0.05,-0.02
195307,0.00,-0.01
195308,0.01,-0.01
195309,0.00,-0.20
195310,0.13,-0.53
195311,2.02,0.35
195312,0.45,-2.36
195401,3.16,-0.29
195402,2.60,-0.72
195403,4.35,1.54
195404,0.74,-0.52
195405,0.20,-0.25
195406,0.19,0.12
195407,0.00,-0.01
195408,0.00,-0.02
195409,0.00,-0.20
195410,0.00,-0.66
195411,1.21,-0.46
195412,2.61,-0.20
195501,5.16,1.71
195502,1.81,-1.51
195503,0.44,-2.37
195504,2.14,0.88
195505,0.88,0.43
195506,0.00,-0.07
195507,0.00,-0.01
195508,0.00,-0.02
195509,0.00,-0.20
195510,0.01,-0.65
195511,1.53,-0.14
195512,11.49,8.68
195601,4.83,1.38
195602,0.95,-2.37
195603,0.09,-2.72
195604,1.32,0.06
195605,1.05,0.60
195606,0.00,-0.07
195607,0.01,0.00
195608,0.00,-0.02
195609,0.20,0.00
195610,1.16,0.50
195611,0.00,-1.67
195612,0.35,-2.46
195701,4.07,0.62
195702,2.83,-0.49
195703,0.86,-1.95
195704,2.04,0.78
195705,1.72,1.27
195706,0.20,0.13
195707,0.01,0.00
195708,0.00,-0.02
195709,0.07,-0.13
195710,2.00,1.34
195711,0.58,-1.09
195712,3.45,0.64
195801,3.48,0.03
195802,6.19,2.87
195803,7.32,4.51
195804,5.43,4.17
195805,0.71,0.26
195806,0.10,0.03
