Fresno County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198803,0.60,-2.58
198804,2.77,1.05
198805,0.76,-0.07
198806,0.26,0.05
198807,0.15,0.04
198808,0.24,0.11
198809,0.30,-0.09
198810,0.00,-0.87
198811,2.29,0.43
198812,3.87,0.89
198901,0.70,-3.05
198902,2.04,-1.52
198903,2.54,-0.64
198904,0.43,-1.29
198905,1.19,0.36
198906,0.06,-0.15
198907,0.08,-0.03
198908,0.23,0.10
198909,1.66,1.27
198910,0.81,-0.06
198911,0.88,-0.98
198912,0.07,-2.91
199001,3.85,0.10
199002,2.37,-1.19
199003,1.27,-1.91
199004,1.21,-0.51
199005,1.66,0.83
199006,0.04,-0.17
199007,0.17,0.06
199008,0.12,-0.01
199009,0.53,0.14
199010,0.08,-0.79
199011,0.45,-1.41
199012,0.85,-2.13
199101,0.73,-3.02
199102,1.43,-2.13
199103,11.91,8.73
199104,0.34,-1.38
199105,0.54,-0.29
199106,0.19,-0.02
199107,0.03,-0.08
199108,0.08,-0.05
199109,0.18,-0.21
199110,1.36,0.49
199111,0.81,-1.05
199112,2.41,-0.57
199201,1.51,-2.24
199202,5.75,2.19
199203,3.13,-0.05
199204,0.23,-1.49
199205,0.23,-0.60
199206,0.14,-0.07
199207,0.49,0.38
199208,0.12,-0.01
199209,0.07,-0.32
199210,2.63,1.76
199211,0.03,-1.83
199212,5.59,2.61
199301,8.62,4.87
199302,6.44,2.88
199303,3.33,0.15
199304,0.53,-1.19
199305,0.27,-0.56
199306,0.74,0.53
